2.8e-09 25.6875 2.5 9.03125 550 0 0 496 0 407591878
2.8e-09 25.0312 2.95312 9.01562 320 0 453464846 322 0 0
2.8e-09 25.4375 2.45312 9.15625 452 0 0 417 0 441029926
2.8e-09 22.7656 2.29688 9.15625 33 0 410827332 37 0 0
2.8e-09 infty 2.39062 9.09375 1233 0 0 1145 0 0
2.8e-09 24.5781 2.3125 9.01562 211 24 376704385 249 0 114817234
2.8e-09 24.0938 2.92188 9.14062 98 0 426374820 98 8 3939512
2.8e-09 21.9844 2.32812 9.01562 15 1 396914796 15 6 11766662
2.8e-09 22.5781 3.01562 9.07812 25 0 0 27 0 407067163
2.8e-09 21.7969 2.29688 9.14062 12 0 81957952 13 0 322556208
2.8e-09 infty 2.42188 9.125 1078 0 0 1122 0 0
2.8e-09 23.1406 2.95312 9.01562 54 4 418941308 69 0 0
2.8e-09 22.1875 2.53125 9.0625 22 0 0 13 0 406444348
2.8e-09 23.1406 2.4375 9.125 53 0 419732994 35 0 0
2.8e-09 22.2344 2.53125 9.07812 26 1 66006030 21 15 312043987
2.8e-09 26.25 2.42188 9.125 824 0 0 810 515 414558496
2.8e-09 23.7188 2.90625 9.10938 79 0 421728550 86 0 0
2.8e-09 25.875 2.28125 9.14062 618 0 411674842 585 0 0
2.8e-09 24.2344 3 9.0625 148 0 5350537 163 135 454949439
2.8e-09 24.5938 2.4375 9.125 195 0 284276609 182 0 198519688
2.8e-09 24.5781 2.39062 9.09375 215 0 0 231 0 490501217
2.8e-09 23.2812 2.4375 9.14062 59 8 91308345 57 2 354800204
2.8e-09 23.3125 2.5625 9.09375 52 0 7486920 59 0 425174207
2.8e-09 infty 2.96875 9.01562 1299 0 0 1339 0 0
2.8e-09 infty 2.29688 9.15625 1029 0 0 1120 0 0
2.8e-09 22.7188 2.51562 9.0625 34 0 192271135 28 9 242787960
2.8e-09 24.7656 3.01562 9.0625 198 0 311510233 211 270 64108424
2.8e-09 23.7344 2.76562 9.14062 64 0 0 79 0 410950428
2.8e-09 25.0625 2.95312 9.01562 323 53 32797002 336 0 394192522
2.8e-09 infty 2.34375 9.04688 1250 0 0 1256 100 238465517
2.8e-09 25.1562 2.84375 9.0625 281 0 0 291 0 375436260
2.8e-09 22.7812 2.28125 9.125 27 0 221304543 27 0 173201345
2.8e-09 24.1094 2.32812 9.01562 130 0 415034620 136 0 0
2.8e-09 23.0781 2.34375 9.03125 42 105 416964292 54 0 40537498
2.8e-09 26.6719 3.01562 9.07812 1223 349 400278837 1184 0 0
2.8e-09 25.7031 2.46875 9.01562 565 0 0 583 12 399085239
2.8e-09 infty 3.26562 9 1322 269 152368388 1346 0 0
2.8e-09 22.1094 2.35938 9.04688 18 4 52611528 18 7 395795528
2.8e-09 infty 2.45312 9.14062 1010 0 67427024 1105 0 0
2.8e-09 23.875 3.26562 9.15625 103 29 273075068 122 0 171244707
2.8e-09 25.6719 2.54688 9.09375 503 0 177549478 490 0 232892826
2.8e-09 23.6094 2.34375 9.03125 91 11 441580290 103 0 51760288
2.8e-09 21.625 2.3125 9.01562 10 0 46678153 12 6 342964372
2.8e-09 infty 3.25 9.14062 1076 0 0 1009 0 0
