303 315 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 513488416 0 5761200 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
6 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 502867448 
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23001 0 0 0 92555 311 0 0 0 0 0 0 0 0 451604819 
2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11607 0 0 0 0 0 0 0 0 86068049 0 0 0 395668498 0 
655 655 0 0 0 0 37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3129983 0 430231658 0 0 0 0 0 0 0 0 0 0 0 0 0 
17 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 479842999 0 21574082 0 0 3953 0 0 0 0 0 0 0 0 
2 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 410177442 0 1082492 0 0 0 0 0 0 0 0 0 20213281 
189 203 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 436100669 8612837 0 0 0 0 0 0 0 0 0 0 
8 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 437456004 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 415539428 0 0 0 0 0 
119 111 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 341603308 0 0 132925261 0 0 0 0 0 0 0 0 0 0 
3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7035879 0 0 0 118677411 0 0 0 0 0 0 0 275772141 0 0 0 0 
10 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1341 169899824 0 0 0 0 254334512 
1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 419429804 0 
3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14040187 0 0 0 0 0 0 24484050 0 0 0 0 0 0 0 0 0 451188634 
4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1603 0 0 0 0 465206013 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 150601 0 0 0 0 0 0 0 0 0 0 0 501425340 0 0 0 0 
28 33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 490863832 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
28 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 462399347 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25571 0 0 0 0 0 0 0 0 0 0 0 517768290 0 0 0 0 
23 27 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 377703739 0 0 26407480 0 0 0 0 0 0 626 0 0 0 
65 49 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 400470457 0 0 0 0 0 0 0 0 0 0 0 0 0 
