0.015625	69982450	0	69982386	0	0.0274656
0.03125	71890837	0	71891517	0	0.0282147
0.046875	73851796	0	73853963	0	0.0289846
0.0625	75868670	0	75870711	0	0.0297762
0.078125	77938244	0	77943126	0	0.030589
0.09375	80065540	0	80070568	0	0.0314239
0.109375	82250421	0	82254266	0	0.0322811
0.125	84493967	0	84500048	0	0.0331621
0.140625	86797059	0	86805170	0	0.0340664
0.15625	89163417	0	89176015	0	0.034996
0.171875	91596291	0	91611117	0	0.0359512
0.1875	94094283	0	94108714	0	0.0369315
0.203125	96660581	0	96674638	0	0.0379386
0.21875	99294683	0	99312221	0	0.0389731
0.234375	102001385	0	102019180	0	0.0400354
0.25	104783629	0	104803139	0	0.0411277
0.265625	107642536	0	107663786	0	0.0422501
0.28125	110580127	0	110601162	0	0.0434029
0.296875	113597738	1	113617676	0	0.044587
0.3125	116697540	1	116719525	0	0.045804
0.328125	119879089	1	119903038	0	0.047053
0.34375	123151209	1	123177620	0	0.0483377
0.359375	126511755	1	126541444	0	0.0496572
0.375	129966516	1	129994377	0	0.0510127
0.390625	133515249	1	133543467	0	0.0524056
0.40625	137154792	1	137190481	0	0.0538354
0.421875	140898014	1	140938074	0	0.0553054
0.4375	144741815	1	144781041	0	0.0568137
0.453125	148692995	1	148732774	0	0.0583646
0.46875	152752664	1	152786890	0	0.0599567
0.484375	156919827	1	156957145	0	0.0615928
0.5	161200878	1	161242478	0	0.0632738
0.515625	124205962	1	124237861	0	0.0487527
0.53125	127594241	1	127627859	0	0.0500828
0.546875	131078566	1	131112943	0	0.0514505
0.5625	134657790	1	134690961	0	0.0528549
0.578125	138332559	1	138365305	0	0.0542971
0.59375	142107921	1	142139309	0	0.0557785
0.609375	145987097	2	146020183	0	0.0573013
0.625	149969623	2	150003653	0	0.0588645
0.640625	154064687	2	154099373	0	0.0604718
0.65625	158267642	3	158304153	0	0.0621216
0.671875	162587620	3	162625385	0	0.0638173
0.6875	167023026	3	167062341	0	0.0655584
0.703125	171577037	3	171616969	0	0.0673458
0.71875	176258099	3	176297832	0	0.0691829
0.734375	181066109	3	181109511	0	0.0710706
0.75	186009977	3	186048941	0	0.07301
0.765625	191085980	3	191123280	0	0.0750018
0.78125	196303415	3	196342183	0	0.0770498
0.796875	201664602	3	201703936	0	0.079154
0.8125	207166813	3	207211452	0	0.0813144
0.828125	212818615	3	212864519	0	0.0835328
0.84375	218625450	4	218671229	0	0.0858117
0.859375	224588769	5	224639855	0	0.0881532
0.875	230719088	5	230768083	0	0.0905587
0.890625	237013900	5	237063399	0	0.0930293
0.90625	243480270	6	243534397	0	0.095568
0.921875	250125516	6	250179612	0	0.098176
0.9375	256946616	6	257004189	0	0.100854
0.953125	197962313	4	197999831	0	0.0777006
0.96875	203359038	4	203401930	0	0.0798197
0.984375	208905686	4	208953771	0	0.0819975
1	214606054	4	214653979	0	0.0842347
1.01562	220459009	4	220510953	0	0.0865326
1.03125	226477499	4	226528995	0	0.0888945
1.04688	232659487	4	232709912	0	0.0913205
1.0625	239010459	4	239060336	1	0.0938129
1.07812	245530342	4	245585724	1	0.0963729
1.09375	252228310	4	252286554	1	0.0990021
1.10938	259110440	4	259169054	1	0.101703
1.125	199648314	4	199678082	1	0.0783608
1.14062	205099266	5	205125106	1	0.0804993
1.15625	210696537	5	210718766	1	0.0826953
1.17188	216446461	5	216466272	1	0.0849515
1.1875	222353372	5	222372596	1	0.0872696
1.20312	228419810	5	228442877	1	0.0896512
1.21875	234653135	5	234674458	1	0.0920973
1.23438	241054210	5	241074747	1	0.0946093
1.25	247630596	5	247649433	1	0.09719
1.26562	254382403	5	254407434	1	0.099841
1.28125	261321645	5	261355921	1	0.102566
1.29688	201355066	3	201368772	0	0.0790274
1.3125	206851321	3	206863440	0	0.0811842
1.32812	212496801	3	212506152	0	0.0833993
1.34375	218290491	3	218309327	0	0.085675
1.35938	224246611	3	224266288	0	0.0880127
1.375	230363354	3	230390293	0	0.0904148
1.39062	236647543	3	236675246	0	0.0928812
1.40625	243106738	3	243137332	0	0.0954168
1.42188	249743802	4	249767440	0	0.0980203
1.4375	256559658	4	256584797	0	0.100696
1.45312	197675997	3	197698810	0	0.0775853
1.46875	203072311	3	203091853	0	0.0797025
1.48438	208614575	3	208635651	0	0.081878
1.5	214306022	3	214321856	0	0.0841107
1.51562	220155766	3	220167940	0	0.0864058
1.53125	226167403	3	226172876	0	0.0887638
1.54688	232343687	3	232346332	0	0.0911872
1.5625	238683711	3	238685994	0	0.0936754
1.57812	245198582	3	245192570	0	0.0962306
1.59375	251891115	3	251880762	0	0.0988563
1.60938	258767373	3	258755102	1	0.101555
1.625	199369872	3	199350749	0	0.0782419
1.64062	204808114	3	204788515	0	0.0803761
1.65625	210396761	4	210379241	0	0.0825699
1.67188	216140505	4	216114353	0	0.0848224
1.6875	222036990	4	222006552	0	0.0871357
1.70312	228093946	4	228067813	0	0.0895137
1.71875	234316805	4	234289144	0	0.0919556
1.73438	240712959	4	240681721	0	0.0944652
1.75	247279346	4	247249848	0	0.0970426
1.76562	254028598	4	253993180	0	0.0996903
1.78125	260957779	4	260926080	0	0.10241
1.79688	201067603	3	201044914	0	0.0789075
1.8125	206554971	3	206530131	0	0.0810607
1.82812	212191193	3	212162960	0	0.083272
1.84375	217978569	3	217955340	0	0.0855443
1.85938	223926972	3	223903855	0	0.0878789
1.875	230034235	3	230016917	0	0.0902769
1.89062	236311346	3	236288117	0	0.0927393
1.90625	242754985	3	242735126	0	0.0952689
1.92188	249375557	3	249359192	0	0.0978679
1.9375	256177989	4	256159959	0	0.100537
1.95312	197384416	3	197349473	0	0.0774596
1.96875	202768097	4	202734905	0	0.0795728
1.98438	208301315	4	208267720	0	0.0817443
2	213986410	4	213950857	1	0.0839751
2.01562	219821054	5	219787172	2	0.0862654
2.03125	225819061	5	225784957	2	0.0886193
2.04688	231979769	5	231944494	2	0.0910369
2.0625	238309406	5	238272871	2	0.0935209
2.07812	244810199	5	244777985	2	0.096073
2.09375	251490226	5	251457571	3	0.0986946
2.10938	258351548	6	258320207	3	0.101388
2.125	199049209	5	199022723	3	0.0781146
2.14062	204481530	6	204456634	3	0.0802469
2.15625	210058912	6	210033705	3	0.0824358
2.17188	215792054	6	215763072	3	0.0846851
2.1875	221683923	6	221650961	5	0.0869966
2.20312	227732325	6	227704230	6	0.0893714
2.21875	233945567	6	233918126	6	0.09181
2.23438	240328419	6	240301654	6	0.0943152
2.25	246888721	6	246857703	6	0.096889
2.26562	253622786	6	253594962	7	0.0995325
2.28125	260543257	6	260510871	7	0.102248
2.29688	200743800	5	200713128	6	0.0787788
2.3125	206221763	5	206190417	7	0.0809286
2.32812	211848359	5	211817280	7	0.0831369
2.34375	217632111	5	217594718	7	0.0854056
2.35938	223565995	5	223531001	7	0.0877349
2.375	229667995	5	229628167	7	0.0901288
2.39062	235930906	5	235897085	7	0.0925879
2.40625	242364650	5	242331404	7	0.095113
2.42188	248977002	6	248943395	7	0.0977081
2.4375	255762314	7	255738055	7	0.100373
2.45312	197051108	6	197036393	6	0.0773327
2.46875	202423855	6	202412928	6	0.0794421
2.48438	207948118	6	207934839	6	0.0816097
2.5	213619868	6	213608605	6	0.083836
2.51562	219449201	7	219435466	6	0.0861234
2.53125	225431340	8	225422152	8	0.088472
2.54688	231582340	8	231578053	8	0.0908871
2.5625	237895675	9	237899914	8	0.0933665
2.57812	244386738	10	244382422	8	0.0959123
2.59375	251053808	10	251049686	8	0.098529
2.60938	257902543	10	257899827	8	0.101217
2.625	198707037	9	198699123	7	0.0779839
2.64062	204128510	9	204120056	7	0.0801116
2.65625	209697151	9	209694132	7	0.0822981
2.67188	215418255	10	215419245	7	0.0845443
2.6875	221295876	10	221294282	7	0.0868505
2.70312	227332315	10	227331600	7	0.0892198
2.71875	233532189	10	233533416	7	0.0916534
2.73438	239904428	10	239907224	7	0.0941546
2.75	246449331	10	246456336	7	0.096724
2.76562	253174170	10	253185688	7	0.0993642
2.78125	260085337	10	260096942	7	0.102077
2.79688	200378071	9	200393120	4	0.0786443
2.8125	205843822	9	205859303	4	0.0807895
2.82812	211461150	9	211473445	4	0.0829934
2.84375	217229046	10	217244874	5	0.0852578
2.85938	223156503	11	223171438	5	0.087584
2.875	229247386	11	229261109	5	0.0899742
2.89062	235504617	11	235517011	5	0.0924297
2.90625	241930600	11	241943518	5	0.0949518
2.92188	248529477	11	248545625	5	0.0975422
2.9375	248529477	11	248545625	5	0.0975422
2.95312	186401152	10	186402687	3	0.0731562
2.96875	186401152	10	186402687	3	0.0731562
2.98438	186401152	10	186402687	3	0.0731562
3	186401152	10	186402687	3	0.0731562
3.01562	186401152	10	186402687	3	0.0731562
3.03125	186401152	11	186402687	3	0.0731562
3.04688	186401152	11	186402687	3	0.0731562
3.0625	186401152	11	186402687	3	0.0731562
3.07812	186401152	11	186402687	3	0.0731562
3.09375	186401152	11	186402687	3	0.0731562
3.10938	186401152	11	186402687	3	0.0731562
3.125	186401152	11	186402687	3	0.0731562
3.14062	186401152	11	186402687	3	0.0731562
3.15625	186401152	11	186402687	3	0.0731562
3.17188	186401152	12	186402687	4	0.0731562
3.1875	186401152	12	186402687	4	0.0731562
3.20312	186401152	12	186402687	4	0.0731562
3.21875	186401152	12	186402687	4	0.0731562
3.23438	186401152	12	186402687	4	0.0731562
3.25	186401152	13	186402687	4	0.0731562
3.26562	186401152	13	186402687	4	0.0731562
3.28125	186401152	13	186402687	5	0.0731562
3.29688	186401152	13	186402687	5	0.0731562
3.3125	186401152	13	186402687	5	0.0731562
3.32812	186401152	14	186402687	5	0.0731562
3.34375	186401152	14	186402687	5	0.0731562
3.35938	186401152	15	186402687	5	0.0731562
3.375	186401152	16	186402687	5	0.0731562
3.39062	186401152	16	186402687	5	0.0731562
3.40625	186401152	16	186402687	5	0.0731562
3.42188	186401152	18	186402687	6	0.0731562
3.4375	139811201	14	139792864	5	0.0548674
3.45312	139811201	14	139792864	6	0.0548674
3.46875	139811201	14	139792864	6	0.0548674
3.48438	139811201	14	139792864	6	0.0548674
3.5	139811201	16	139792864	6	0.0548674
3.51562	139811201	16	139792864	6	0.0548674
3.53125	139811201	17	139792864	6	0.0548674
3.54688	139811201	17	139792864	6	0.0548674
3.5625	139811201	17	139792864	6	0.0548674
3.57812	139811201	17	139792864	6	0.0548674
3.59375	139811201	17	139792864	6	0.0548674
3.60938	139811201	17	139792864	6	0.0548674
3.625	139811201	17	139792864	7	0.0548674
3.64062	139811201	17	139792864	7	0.0548674
3.65625	139811201	17	139792864	8	0.0548674
3.67188	139811201	17	139792864	9	0.0548674
3.6875	139811201	17	139792864	9	0.0548674
3.70312	139811201	18	139792864	9	0.0548674
3.71875	139811201	20	139792864	9	0.0548674
3.73438	139811201	20	139792864	9	0.0548674
3.75	139811201	21	139792864	9	0.0548674
3.76562	139811201	21	139792864	9	0.0548674
3.78125	139811201	21	139792864	10	0.0548674
3.79688	139811201	21	139792864	10	0.0548674
3.8125	139811201	24	139792864	10	0.0548674
3.82812	139811201	25	139792864	10	0.0548674
3.84375	139811201	26	139792864	11	0.0548674
3.85938	139811201	28	139792864	12	0.0548674
3.875	139811201	28	139792864	12	0.0548674
3.89062	139811201	29	139792864	12	0.0548674
3.90625	139811201	30	139792864	12	0.0548674
3.92188	139811201	30	139792864	12	0.0548674
3.9375	139811201	31	139792864	12	0.0548674
3.95312	104855672	22	104847077	9	0.0411505
3.96875	104855672	23	104847077	9	0.0411505
3.98438	104855672	23	104847077	9	0.0411505
4	104855672	23	104847077	9	0.0411505
4.01562	104855672	24	104847077	9	0.0411505
4.03125	104855672	25	104847077	9	0.0411505
4.04688	104855672	25	104847077	9	0.0411505
4.0625	104855672	25	104847077	10	0.0411505
4.07812	104855672	25	104847077	11	0.0411505
4.09375	104855672	25	104847077	11	0.0411505
4.10938	104855672	25	104847077	11	0.0411505
4.125	104855672	26	104847077	11	0.0411505
4.14062	104855672	26	104847077	11	0.0411505
4.15625	104855672	26	104847077	14	0.0411505
4.17188	104855672	26	104847077	15	0.0411505
4.1875	104855672	26	104847077	15	0.0411505
4.20312	104855672	26	104847077	16	0.0411505
4.21875	104855672	26	104847077	16	0.0411505
4.23438	104855672	26	104847077	16	0.0411505
4.25	104855672	26	104847077	16	0.0411505
4.26562	104855672	26	104847077	16	0.0411505
4.28125	104855672	26	104847077	17	0.0411505
4.29688	104855672	27	104847077	17	0.0411505
