0.02777	0.0016
0.05198	0.0015
0.05772	0.0016
0.06365	0.0005
0.06939	0.0009
0.07513	0.0017
0.08087	0.0013
0.08661	0.0013
0.09234	0.0009
0.09808	0.0011
0.1038	0.0014
0.1095	0.0016
0.1153	0.0013
0.121	0.0001
0.1268	0.0008
0.1325	0.0016
0.1382	0.0011
0.1447	0.0015
0.1504	0.0012
0.1569	0.0017
0.1626	0.0013
0.1683	0.0006
0.1741	0.0016
0.1798	0.004
0.1855	0.0046
0.1913	0.0046
0.197	0.0048
0.2027	0.005
0.2085	0.0043
0.2142	0.0053
0.2199	0.0058
0.2257	0.006
0.2314	0.0047
0.2371	0.0052
0.2429	0.005
0.2486	0.0062
0.2543	0.0057
0.2601	0.0051
0.2658	0.0054
0.2715	0.0058
0.2773	0.0059
0.283	0.0066
0.2887	0.006
0.2945	0.0069
0.3002	0.0058
0.3059	0.0067
0.3117	0.0055
0.3174	0.0056
0.3231	0.0051
0.3289	0.0053
0.3346	0.0057
0.3404	0.0064
0.3461	0.0068
0.3518	0.0062
0.3576	0.0072
0.3633	0.0064
0.369	0.0067
0.3748	0.0066
0.3805	0.0067
0.3862	0.0063
0.392	0.0069
0.3977	0.0078
0.4034	0.0065
0.4092	0.0073
0.4149	0.0071
0.4206	0.0078
0.4264	0.0072
0.4321	0.0068
0.4378	0.008
0.4436	0.0074
0.4493	0.0075
0.455	0.008
0.4608	0.0076
0.4665	0.0075
0.4722	0.0086
0.478	0.0075
0.4837	0.007
0.4894	0.0076
0.4952	0.0078
0.5009	0.0088
0.5067	0.0083
0.5287	0.0069
0.5524	0.007
0.5582	0.006
0.5639	0.0071
0.5697	0.0063
0.5754	0.0072
0.5811	0.0084
0.5869	0.0082
0.5926	0.0069
0.5983	0.0085
0.6041	0.0082
0.6098	0.0082
0.6155	0.0072
0.6213	0.0075
0.627	0.0075
0.6328	0.0074
0.6385	0.0088
0.6442	0.0083
0.65	0.0077
0.6558	0.0081
0.6615	0.008
0.6673	0.0081
0.673	0.0094
0.6789	0.0088
0.6846	0.0077
0.6904	0.0086
0.6961	0.0093
0.7025	0.0097
0.7084	0.009
0.7141	0.0097
0.7198	0.0093
0.7256	0.0086
0.732	0.0085
0.7377	0.0092
0.7442	0.0095
0.7499	0.0088
0.7557	0.009
0.7614	0.009
0.7671	0.0096
0.7736	0.0093
0.7794	0.0104
0.7853	0.011
0.791	0.0102
0.7967	0.0103
0.8029	0.0104
0.8087	0.0105
0.8145	0.0111
0.8203	0.0114
0.8261	0.0107
0.8319	0.0111
0.8376	0.0115
0.8434	0.0118
0.8491	0.012
0.8548	0.0118
0.862	0.0115
0.8678	0.0151
0.8735	0.0123
0.8792	0.0117
0.885	0.012
0.8907	0.0112
0.8964	0.0127
0.9022	0.0131
0.908	0.0126
0.9138	0.0134
0.9202	0.0149
0.9259	0.0128
0.9324	0.0129
0.9382	0.0146
0.9447	0.014
0.9512	0.0134
0.957	0.0136
0.9645	0.0136
0.9704	0.014
0.977	0.0136
0.9827	0.0138
0.9885	0.0154
0.9942	0.0146
0.9999	0.0148
1.006	0.0154
1.03	0.0117
1.054	0.0124
1.06	0.0123
1.066	0.0126
1.072	0.0141
