44 41 0 0 488036305 0 
24 22 0 0 0 519562968 
42 31 0 0 0 442746136 
17 12 24 0 507995091 0 
8 9 0 0 0 414662882 
848 809 0 0 454059588 0 
48 52 65 0 448097810 0 
141 148 0 0 0 492329729 
18 20 0 0 0 438070253 
38 54 0 0 0 404080098 
20 40 0 0 516920532 0 
34 44 0 0 446958339 0 
57 68 0 25 0 481451147 
140 158 0 0 0 434468759 
715 756 0 0 391418751 0 
332 301 0 141 0 488372469 
37 31 0 0 482252081 0 
33 45 0 0 416692245 0 
7 10 0 0 0 464552065 
25 10 0 3 0 444443504 
31 26 13 0 420766039 0 
870 938 0 0 0 481461825 
143 131 34 0 457688794 0 
26 12 57 0 414954024 0 
16 29 15 0 451422844 0 
51 57 0 0 505415510 0 
809 776 0 0 0 365189115 
9 8 0 0 451239099 0 
32 28 0 0 393162536 0 
110 98 0 94 0 443930359 
38 33 0 0 0 492640669 
27 28 0 0 500382911 0 
92 107 0 89 0 403982378 
9 6 0 0 0 466144937 
32 25 96 0 491708293 0 
62 65 0 0 512164340 0 
236 278 0 4 0 467585838 
31 22 0 0 454301626 0 
30 26 0 93 0 468520333 
105 106 37 0 447422972 0 
287 256 0 0 432010584 0 
14 19 0 0 498832398 0 
5 7 0 0 0 415317284 
118 108 0 0 427399977 0 
821 811 0 0 0 432940537 
28 14 29 0 323750309 135436085 
169 167 0 0 467177704 0 
4 2 0 0 0 467684272 
16 16 0 0 411710874 0 
29 22 0 0 423759637 0 
13 20 5 0 414128651 0 
51 49 0 0 0 442882539 
43 37 88 0 469131153 0 
17 13 0 0 0 404335351 
13 16 0 0 413149448 0 
19 9 0 0 313193003 108477163 
66 43 0 0 482497892 0 
12 30 0 0 519579850 0 
21 21 0 0 487785571 0 
55 48 0 48 0 467261418 
35 31 0 0 0 485329446 
108 99 0 0 452876113 0 
334 338 0 0 474603698 0 
329 297 0 0 427919545 0 
17 23 0 0 0 435310374 
17 25 0 0 0 431450891 
137 140 0 0 403405643 0 
36 28 0 0 0 442043669 
146 124 0 0 0 399170669 
65 55 0 18 0 461016605 
96 114 0 0 0 496799433 
28 14 0 0 0 516379866 
484 517 0 0 0 517857974 
131 125 0 0 0 392026959 
21 25 0 0 431103986 0 
229 197 0 172 0 396388006 
78 85 0 0 483879493 0 
254 211 0 253 0 401939308 
327 324 0 0 454701186 0 
5 8 0 0 464126324 0 
35 35 0 0 0 448795819 
284 313 0 0 0 441254092 
195 209 0 0 0 423788726 
11 6 0 0 428434796 0 
22 22 0 9 0 510321206 
100 90 57 0 429551324 0 
30 32 0 0 432774868 0 
57 47 8 0 504579336 0 
783 725 0 0 323289512 0 
55 62 0 0 483879040 0 
8 15 0 0 0 517416540 
17 24 10 0 391472483 0 
34 38 0 18 287406184 124494920 
10 19 0 0 116302454 276882989 
660 674 0 0 0 434977032 
30 26 12 0 515166930 0 
28 20 0 0 353484933 57789103 
114 136 0 0 408352912 0 
10 11 0 0 0 417290719 
46 35 62 0 411710933 0 
565 592 0 0 515205639 0 
50 34 0 0 0 415399657 
39 46 0 0 404989122 0 
33 30 0 0 463311105 0 
153 150 0 0 0 495440033 
33 31 0 0 408377989 0 
88 89 0 0 0 472346549 
9 9 0 2 255364346 223316088 
110 117 0 0 0 504539047 
118 96 28 0 447262569 0 
8 15 0 0 0 413405673 
39 31 0 0 421192805 0 
