0 0 0 0 0 0 0 146411 0 0 0 0 0 0 490834151 0 0 0 0 0 
1369 1406 0 0 0 0 0 0 0 250788938 0 0 0 0 0 0 0 0 0 0 
4 5 0 0 0 0 0 0 0 0 0 0 0 0 0 445392355 0 0 0 0 
1053 1060 0 0 0 0 346240285 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 3 0 0 0 0 0 0 0 1225183 0 0 0 0 0 418668133 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 462916817 17749967 0 0 0 0 
1 0 0 0 0 0 0 0 0 0 0 0 0 0 332908765 0 0 2 71004402 0 
385 374 0 272161727 0 0 0 0 0 123173792 0 0 0 96547 0 0 0 0 0 0 
167 165 0 487326381 0 787518 0 0 0 0 28013 0 0 0 0 0 0 0 0 0 
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 508146212 0 0 0 0 
9 7 0 0 0 0 0 447606722 0 0 0 0 0 0 0 0 0 0 0 0 
1 1 0 0 0 0 6878138 0 0 0 0 0 0 0 442019185 0 0 0 0 0 
335 339 450097104 0 0 0 0 0 0 0 0 0 0 0 0 0 949 0 0 0 
270 272 0 0 0 0 0 396026675 0 0 0 0 0 0 0 0 0 0 0 0 
53 52 0 0 0 0 494760271 0 0 0 0 4478 0 0 0 0 0 0 0 0 
492 465 0 416081542 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 1 0 97670 0 0 0 0 0 0 0 0 0 0 496941882 0 0 0 0 0 
2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 438490866 0 
65 62 0 0 0 0 478573357 0 8824250 0 0 0 0 0 0 0 370 0 0 0 
225 245 0 0 0 0 0 481011166 0 0 0 0 0 0 0 0 0 0 0 0 
2 2 0 224125 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 423219122 
2 1 0 0 0 0 0 0 0 0 0 0 0 0 461593301 0 0 0 0 21886099 
676 664 0 0 0 4512935 0 381218176 0 0 0 156445 0 0 0 0 0 0 0 0 
465 475 477854229 0 0 0 0 0 0 0 0 0 0 0 0 0 437 0 0 0 
995 1021 0 74582229 0 0 0 0 341027751 0 0 0 0 0 0 0 0 0 0 0 
66 76 0 0 0 0 458855687 0 0 0 37725 0 0 0 0 0 0 0 0 0 
4 6 0 0 0 0 0 0 2246206 0 0 0 0 0 0 0 0 0 473434494 0 
10 7 0 0 168191 0 0 82709458 0 0 0 0 0 0 0 0 0 0 315020671 0 
2 0 85875 622508 0 0 0 0 0 0 0 0 0 0 392906006 0 0 0 0 0 
1208 1175 406646935 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
16 17 0 29809891 34978 0 0 455581466 0 0 0 0 0 0 0 0 0 0 0 0 
32 28 0 0 0 0 0 0 0 0 0 0 0 33286 0 0 0 0 0 393720827 
2 2 212989 0 0 0 0 23403120 0 0 0 0 0 0 445438299 0 0 0 0 0 
149 166 32479634 7576991 0 0 357142256 0 0 0 0 0 0 0 0 0 0 0 0 0 
1030 1059 0 0 0 0 0 0 0 403126364 0 0 0 0 0 0 0 0 0 0 
8 5 0 0 0 0 0 0 0 0 0 0 0 0 0 405117680 0 0 0 0 
0 2 250491 0 0 0 1725388 0 0 0 0 0 0 0 416109926 0 0 0 0 79376260 
1195 1108 0 0 4468054 0 0 0 342272686 0 0 0 0 0 0 0 0 0 0 0 
14 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 403552915 0 
83 83 0 0 0 4726196 0 0 0 0 23967 0 0 0 0 0 0 326 0 490339807 
1235 1138 0 0 0 0 0 0 449337717 0 0 0 0 0 0 0 0 0 0 0 
3 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 460532855 0 
69 65 0 0 0 0 0 408027639 0 9979624 0 0 0 0 0 0 0 0 0 0 
96 75 0 0 0 488830 0 503099242 0 0 0 0 0 0 0 0 0 0 0 0 
1 6 0 0 0 13792 0 0 0 52172 31 0 0 0 392938795 0 0 0 0 0 
1 0 444878 0 0 0 0 0 0 0 0 243 0 0 0 0 55 0 471221942 0 
146 163 460465216 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
12 10 0 0 0 0 311889837 0 0 0 435 0 0 0 0 0 0 0 0 157833820 
1324 1313 0 0 0 0 0 0 0 362679369 0 0 0 0 0 0 0 0 0 0 
518 482 135657932 0 0 0 259040390 0 0 0 0 0 0 0 0 0 0 0 0 0 
115 126 0 0 0 0 0 466002854 30677056 0 0 0 0 0 0 0 310 0 0 0 
0 0 0 0 2286 0 0 1905108 0 0 0 0 0 0 0 477139604 0 0 0 0 
32 28 0 24275526 0 0 0 457475409 0 0 0 0 0 0 0 0 0 0 0 0 
26 23 64708741 0 0 0 0 394179295 1203556 0 0 0 0 0 0 0 0 0 0 0 
403 409 0 426783700 0 2062528 0 0 0 0 0 32762 0 0 0 0 0 0 0 0 
5 9 0 0 0 0 0 0 0 0 0 4164 0 0 0 0 0 0 0 397270924 
67 78 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 463704778 
17 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 440022303 
1 1 0 82617 0 0 0 0 0 0 0 0 0 0 0 451741682 0 0 0 0 
120 107 0 0 0 0 0 360909449 0 25341953 0 0 0 0 0 0 0 0 0 0 
0 2 0 14349 0 0 0 0 0 0 0 0 0 0 0 468857012 0 0 0 0 
5 1 0 0 0 0 0 0 0 44949 458 0 0 0 0 0 0 15 436834922 0 
0 0 0 0 0 2186 0 0 0 0 0 0 0 0 0 437379812 0 0 0 0 
1 2 0 0 0 0 0 0 0 0 141 0 0 0 0 511423542 0 0 0 0 
14 9 0 0 0 0 10927712 0 0 0 0 0 0 0 0 0 0 0 0 394804945 
22 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 400972972 
10 7 0 0 0 60217 0 0 0 0 0 0 0 0 0 0 0 0 0 394680646 
1032 1048 0 100096016 4383761 0 0 0 403423767 0 0 0 0 0 0 0 0 0 0 0 
49 50 0 55853517 0 0 0 354342780 0 0 0 0 0 0 0 0 0 59 0 0 
7 5 0 11968191 0 0 0 0 0 0 0 0 0 0 0 0 0 0 499673602 0 
449 480 0 506959784 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8 7 0 0 0 0 0 0 0 0 0 0 42 0 0 0 0 0 494565546 0 
20 19 0 0 0 0 0 32904048 0 2862651 0 0 0 0 0 0 0 0 0 382788783 
2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 497806152 0 0 0 0 
0 1 0 0 0 5340 0 0 0 0 0 0 0 0 0 0 0 0 32947296 400353996 
262 275 423522472 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
224 234 0 0 0 0 0 504151712 0 0 0 0 0 0 0 0 0 0 0 0 
1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 474582983 0 0 0 0 
1254 1238 0 0 0 1152569 0 0 273147583 0 184398 119975 0 0 0 0 0 0 0 0 
72 77 0 386136641 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8 8 4386246 0 0 0 0 121506325 0 0 0 0 0 0 0 0 0 0 0 375365639 
1062 1090 409522512 0 0 0 0 0 0 0 0 0 0 1069605 0 0 0 0 0 0 
4 2 0 0 0 0 0 0 0 0 54 0 0 0 0 0 0 0 0 432145362 
25 15 2679535 0 0 0 0 424455134 0 0 0 2288 8751 0 0 0 0 0 0 0 
8 6 0 0 0 2309 0 0 0 395917 0 0 0 0 0 0 0 0 0 426813545 
7 9 3722943 7908474 44859 23518 141514513 0 0 0 0 0 0 0 0 0 0 0 266906932 0 
1442 1427 0 0 0 0 0 0 455201721 0 0 0 0 0 0 0 7440 0 0 0 
102 113 54388278 403717753 103410 0 0 0 0 0 0 32674 0 42687 0 0 0 0 0 0 
2 0 0 98023 0 0 0 0 0 23982 0 0 0 0 390781305 0 0 0 0 0 
1 5 0 0 0 0 0 67057640 0 0 0 0 0 0 0 0 0 0 0 338710873 
1 1 0 0 0 0 0 0 164859 32498 0 0 0 0 7780500 418891002 3 0 0 0 
77 74 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 432287977 
2 0 0 0 0 0 0 0 0 0 0 0 0 0 227602442 181216883 0 0 0 0 
1 0 0 0 0 8338 0 0 0 0 0 0 0 0 393401832 0 0 0 0 0 
8 13 0 3097046 0 0 115268412 273679910 342439 0 0 0 0 3056 0 0 9 0 0 0 
3 3 1992556 0 0 1912 16664367 0 0 0 0 0 0 0 0 0 0 0 0 490164771 
0 0 0 0 0 0 0 89542 0 0 0 0 0 0 0 440240077 0 0 0 0 
76 82 46856829 0 0 0 381326757 0 0 0 0 0 0 0 0 0 0 0 0 0 
3 3 0 0 0 0 0 0 0 3204706 40 0 0 0 0 0 0 0 408553399 0 
2 2 0 0 0 0 0 0 1601497 0 0 143 0 0 0 0 0 0 394972441 0 
5 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 504722272 0 
0 2 0 2661117 0 0 0 0 0 0 0 0 739 202 0 445395835 0 26 0 0 
3 3 0 0 0 0 0 15538440 0 0 0 632 0 0 394002824 0 0 0 0 0 
24 18 0 0 0 0 0 0 381427 0 0 0 0 0 0 0 0 0 0 473433547 
2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 464221132 0 0 0 27011242 
3 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 255423554 207280793 
2 0 0 0 0 0 0 0 0 0 0 0 0 0 325891662 0 0 0 71996801 0 
4 1 0 513654 0 0 5094725 18009203 0 0 0 0 0 0 0 459725595 0 0 0 0 
1 0 0 0 0 5755 0 0 0 0 162 0 0 0 337666290 0 0 0 105065215 0 
0 0 0 0 0 0 0 0 25308 0 0 0 0 0 483427662 0 0 0 0 0 
1 1 0 0 162 0 0 0 0 0 80 0 3 0 0 457143570 0 0 0 0 
453 422 0 0 4754465 0 0 0 0 392249692 0 0 0 0 0 0 0 0 0 0 
104 85 0 0 0 0 512553229 0 0 0 0 0 0 0 0 0 0 0 0 0 
1093 1088 0 0 0 0 0 0 0 441389971 0 0 0 0 0 0 0 0 0 0 
0 1 0 0 0 871 0 800117 0 0 0 0 0 0 475785232 10354754 0 0 0 0 
1153 1215 0 0 0 0 0 0 117301392 235930831 0 0 0 0 0 0 0 0 0 0 
1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 454268765 0 0 0 31533768 
1 1 0 0 0 0 0 0 571027 0 0 0 0 0 0 0 0 25 506571612 0 
1 0 0 0 0 0 0 0 0 0 0 0 0 0 386584880 0 0 0 0 0 
74 68 0 0 0 0 0 426475475 0 38322 0 0 0 0 0 0 0 0 0 0 
15 15 0 0 0 0 342553375 142303054 3566167 0 0 1935 0 0 0 0 0 10 0 0 
65 56 0 18947007 0 0 366843478 0 0 0 0 0 102000 0 0 0 0 0 0 0 
19 12 0 16368545 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 412778791 
611 593 0 216531035 0 0 0 0 192277562 0 162827 0 0 0 0 0 0 0 0 0 
0 0 0 0 966 7311 0 58412 0 0 0 0 0 0 0 421344589 0 0 0 0 
12 2 0 0 0 4180 0 1508013 0 2040025 0 0 0 0 0 387380913 0 0 0 0 
297 309 0 0 0 0 396526864 0 0 0 0 0 0 0 0 0 0 0 0 0 
297 325 0 0 0 0 0 434949655 0 0 0 0 0 0 0 0 0 0 0 0 
2 3 0 0 0 0 3810820 0 0 0 0 0 0 0 0 0 0 0 448638130 0 
1197 1239 0 0 0 0 0 304764778 0 0 0 0 500155 0 0 0 0 0 0 0 
5 7 1958257 0 0 0 0 0 0 754409 0 0 0 0 436389068 0 0 0 0 0 
308 284 0 422896297 0 0 0 0 0 624702 0 0 0 0 0 0 825 0 0 0 
1195 1187 0 489671284 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3 1 0 0 0 0 0 0 0 0 0 0 0 0 501190560 0 0 9 0 0 
47 36 0 0 0 0 394842997 57631154 0 0 0 0 0 0 0 0 0 0 0 0 
2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 437920638 0 0 36667408 0 
81 74 0 0 0 0 0 324448871 0 79222633 0 0 0 0 0 0 0 0 0 0 
1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 306349453 94014672 
61 55 0 0 0 0 405369788 0 0 0 0 0 0 0 0 0 0 1757 0 0 
0 3 0 0 0 0 1701971 0 0 26761 0 182 0 0 0 0 0 0 491836398 0 
0 1 16774057 0 39668 0 0 4019073 0 0 0 0 0 0 28163398 0 0 16 365401278 0 
0 1 0 0 0 0 0 0 0 26457 0 0 0 0 0 428585730 0 0 0 0 
114 120 0 0 0 0 0 411851526 0 0 0 0 0 0 0 0 0 0 0 0 
20 20 0 0 148952 30227 0 0 0 0 0 0 0 0 0 0 0 0 0 389446054 
10 10 6313147 0 23405 0 0 0 0 0 0 0 0 554 0 0 0 0 426567991 0 
70 78 0 0 0 358804 431226005 0 0 0 0 0 0 0 0 0 0 0 0 0 
469 502 395906585 0 2669440 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
43 47 0 27530460 343688 0 385358092 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 435525955 0 0 0 0 0 
1 1 0 0 0 0 0 0 0 0 0 0 0 0 206014471 207432658 0 0 0 0 
19 15 0 0 0 0 0 0 0 0 0 693 0 0 0 0 0 0 0 467435078 
1076 985 0 0 1365535 0 0 0 0 263153868 0 0 0 0 0 0 0 0 0 0 
1361 1373 0 0 0 0 0 0 0 259039811 21780 0 0 0 0 0 0 0 0 0 
3 0 1758397 0 0 0 2133058 0 0 193127 0 82 64 0 457563653 0 0 0 0 0 
2 1 0 0 0 0 6345168 0 0 0 0 0 0 0 486218731 0 0 0 0 0 
0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 478995093 0 0 0 0 
1100 1164 0 0 0 378355 0 0 0 488737483 0 0 0 0 0 0 0 0 0 0 
260 227 0 503258771 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
4 2 0 0 886 1142 0 0 0 0 0 0 0 0 0 0 0 0 463489300 0 
0 0 0 49957 0 0 0 0 3926 0 1 0 0 0 319610133 87860935 0 0 0 24924183 
89 93 0 0 0 0 473344819 0 0 13593017 579 0 0 0 0 0 0 0 0 0 
3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 480473236 0 
15 27 477346 0 0 0 0 0 0 11913375 0 0 0 0 0 389839354 0 0 0 0 
4 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 468540441 0 
