1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20631643 1642927 0 0 0 0 272597650 0 10686573 0 0 0 
1 2 11983 0 0 0 0 0 0 0 0 0 0 0 0 0 92 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 289096580 0 0 0 0 0 0 
0 0 1055 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 359521365 0 0 0 0 15753 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 3008 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 289334967 0 0 0 0 0 0 0 0 0 4339432 0 10872930 0 0 0 0 
3 4 0 0 1706706 0 0 0 0 0 0 309067936 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 38138441 
357 353 2679060 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 630 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 329473605 18394272 0 
24 28 957016 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 448722 0 302383743 0 0 0 0 0 0 0 0 0 0 
0 1 10781 0 0 0 0 0 0 0 303115877 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6437456 0 1565745 
0 0 0 32 0 1331 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 332088155 0 0 0 0 217031 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1508773 0 0 0 0 0 0 319787644 0 0 0 3 0 0 0 0 19352 1281151 0 0 0 0 0 0 
340 341 0 0 0 262994501 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28018577 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3066716 0 0 0 0 0 337329591 0 0 0 276 0 0 0 0 0 0 0 0 0 0 43259 0 
0 0 0 0 0 0 348737780 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 0 0 0 0 1819 0 2278426 0 0 0 0 0 0 2692723 0 0 52209 0 
0 0 0 0 0 0 0 0 0 0 25846406 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 352058679 0 0 0 0 0 212925 0 0 0 0 0 0 0 0 0 58454 0 
0 0 6954 16232 0 0 0 0 0 0 172718039 0 0 0 0 0 0 0 0 0 0 4671307 0 0 0 0 0 0 0 0 56 0 0 0 0 0 0 0 0 128590492 0 0 0 0 
1 0 1204 0 0 0 0 3857971 0 0 0 5103705 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 67 0 0 0 0 0 0 33506664 259867675 0 0 0 184964 0 
0 0 15 0 0 1055 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2729 0 0 0 0 0 0 379259485 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 68 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 325786595 0 0 0 0 0 0 0 0 0 0 0 2269687 10461 317 0 0 
1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 62824863 0 0 39338 0 0 0 0 0 0 0 0 763022 0 0 0 289842077 0 0 0 0 0 0 0 
0 0 0 0 4474 0 268897312 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6812032 0 0 6 0 0 0 0 0 0 0 402572 414806 0 0 0 9301175 0 0 0 0 0 0 
0 0 0 0 0 7716 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1916 0 0 0 0 371744129 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 275328197 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21982040 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 0 16668 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 8012932 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 183609679 0 141632486 0 0 0 0 
26 38 0 306354 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4300 0 0 0 0 0 0 0 36833199 0 0 0 330642627 0 0 0 0 0 0 0 
2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 328799828 52778 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 1 734 0 0 0 0 303700623 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 57382214 0 0 0 0 
0 0 0 0 0 588 0 0 0 0 50504 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 330885795 26907652 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 156680195 0 0 0 0 0 0 0 0 0 0 0 0 0 304 0 0 0 0 0 0 0 0 0 0 0 131743365 0 0 0 0 0 239078 
0 0 0 0 182639 0 105283235 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3448168 2480 0 0 0 0 0 0 0 1036 0 0 0 0 0 0 0 0 197756067 0 0 0 0 
1 0 0 0 0 273619 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 288499721 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
4 10 0 88081 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 295234686 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 26913218 0 0 0 0 0 0 0 0 0 0 0 0 534950 0 0 0 0 0 0 314367009 0 0 0 55 0 0 0 0 0 0 0 0 0 0 0 0 
1 1 0 4754 0 0 97791144 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3289 0 0 0 0 0 0 0 0 1099017 0 0 0 0 0 0 201634083 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 45077331 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 263017206 0 0 0 0 
14 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 227 0 0 0 0 0 0 0 0 0 0 0 333471274 0 0 0 0 0 0 0 
4 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 230 0 10 0 0 0 63499 0 0 0 0 0 0 0 0 17748457 0 0 0 0 315318712 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4810826 0 0 0 0 0 284839064 0 0 0 0 0 0 0 0 0 0 0 0 0 0 507818 0 0 
0 0 17637 0 0 0 0 0 0 0 0 340665074 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3965 0 0 887722 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 120809 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 291958148 0 0 0 0 0 4982 0 0 0 0 0 0 0 0 5 0 
2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 251653928 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100821709 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 359100634 0 0 0 0 0 0 0 0 0 0 0 0 0 318502 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 168 814 0 0 0 0 0 4014892 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 56679662 274306415 0 0 0 26 35319 0 0 0 0 0 0 0 0 0 0 0 
1 0 0 0 0 0 214681644 0 0 0 0 121571380 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 371291 0 
0 2 0 0 0 0 0 357173202 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 81 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 25506 304270452 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 23778 0 0 0 0 0 0 0 0 892801 0 
0 0 0 0 0 0 0 238977750 0 0 0 64092177 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6855940 19839841 0 0 0 0 0 0 
0 0 0 0 0 178 0 14123497 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 321262549 0 0 0 0 0 0 0 0 0 0 0 0 478213 0 0 0 4285 
0 0 209 0 0 0 0 0 0 0 0 1104236 0 0 0 0 0 0 0 0 872258 0 0 0 0 0 0 292383461 0 0 0 0 71348 98728 0 0 0 2803383 0 0 64833 0 31537 0 
0 0 0 0 0 0 0 0 0 0 0 528841 0 0 0 0 0 0 0 0 0 183452 0 0 1 0 209408847 130953031 0 0 0 0 71328 0 0 0 0 0 0 0 0 0 0 0 
875 912 37253603 0 0 307285238 0 0 0 0 0 0 0 0 0 0 78746 0 0 234 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 31149 0 0 334756182 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11301438 0 0 0 0 
0 1 0 0 0 193 0 0 0 0 0 4691745 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 321537503 0 0 0 0 0 0 0 0 0 666533 0 0 0 0 0 20050 
2565 2521 0 0 267900028 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11980778 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 41129253 0 0 0 0 0 0 0 0 0 72838179 15012408 0 0 0 0 0 0 0 0 0 0 0 447221 0 0 0 0 126454981 82419248 0 0 0 0 
4 3 77454 0 0 0 0 0 0 0 0 0 0 0 0 0 128 0 0 0 0 0 0 0 132 0 0 0 0 0 0 0 0 0 0 0 0 0 283027047 0 10967981 0 0 0 
0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 115 0 0 0 32411299 0 69184 0 11 0 0 0 0 0 273 0 6563112 0 0 0 0 275202506 0 0 0 884657 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 343437092 0 0 0 0 0 30390 0 0 0 0 0 0 0 0 0 0 
0 0 0 4604 122390 0 0 262249374 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27233650 0 0 0 0 
0 0 0 141 0 0 327460969 0 0 0 20202645 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 3259 0 0 0 0 208939070 0 0 0 0 0 0 0 0 0 0 0 0 0 0 307 4040 8 0 0 0 0 0 0 0 0 0 0 0 0 14379469 31581119 90832535 0 0 0 0 
0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 232196480 0 0 0 0 0 0 0 0 0 0 54286057 0 0 0 485013 0 
28 25 1654674 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2719 0 0 0 0 0 0 0 0 206772713 0 0 0 0 0 0 0 116496073 0 6722040 
