251887535 251845945 7 2 
219647064 219988031 4 0 
250522428 250580942 3 14 
229191258 228868019 0 2 
208421076 208640926 8 0 
229317854 228920076 16 1 
246638027 246593792 5 3 
249167750 249299282 1 0 
263043584 263150240 1 22 
222970977 223204437 0 2 
239799525 240333073 4 1 
201234704 201201528 0 0 
222686354 222491717 1 2 
235056851 235086978 6 0 
249928304 250198729 6 0 
246771829 246577897 4 3 
223376359 223355536 11 2 
237291390 237258569 1 2 
229041744 229086876 12 0 
203845007 204142778 0 0 
222755120 222843798 10 37 
203282665 203257065 10 0 
205573272 205547981 6 12 
210146367 210056645 0 6 
250090887 250063439 2 1 
207982265 207989713 14 0 
211054963 211108160 7 2 
237466185 237353874 0 8 
213797945 213954705 2 6 
215161137 214974733 3 0 
267115914 267145225 3 7 
232102307 232305815 60 44 
218364463 218602249 0 2 
212838868 212838536 1 1 
215303555 215221907 42 2 
202856011 202842800 2 8 
237340317 237303218 1 10 
237290638 237355923 11 42 
254933973 255092810 2 1 
220005575 220020427 1 3 
257262329 257127112 6 1 
258571061 258342221 14 19 
257679520 257793315 1 0 
266751018 266858821 3 3 
251859101 251698202 0 0 
253026240 253108439 0 0 
253881699 254009977 72 7 
208182675 208175776 2 5 
254292189 254161127 46 4 
258638469 258683158 4 0 
263328816 263267458 6 22 
219207923 219256412 0 7 
228408916 228239113 5 3 
224730295 224740965 14 7 
226011091 226447694 0 9 
233809306 233847159 0 0 
251097273 251245529 51 7 
220879785 220785246 1 8 
207787936 207842163 10 18 
235253619 235457722 1 1 
255883428 255715452 38 0 
240867990 241034076 8 6 
243069574 242804440 0 14 
241072895 241321422 12 4 
203305497 203264153 2 13 
244810442 244836772 25 14 
207741673 207770881 4 0 
210393567 210469899 7 12 
203408628 203574124 5 11 
230993742 231068661 1 2 
207216873 207106824 20 0 
212011252 212014578 3 2 
266026330 266190330 20 0 
203601272 203493481 5 3 
214525234 214581821 1 6 
266439147 266457321 8 45 
205531749 205321157 6 13 
205967280 206175794 1 1 
239747352 239771269 21 0 
201689079 201494089 0 3 
264635330 264636045 16 9 
239890757 239891092 2 0 
267166387 267533261 11 6 
207261705 207387293 3 10 
241566838 242063862 26 0 
264380390 264242801 0 2 
230834608 231123281 0 0 
247779976 248022585 7 0 
237709481 237329739 2 1 
226661401 226379028 2 48 
202352522 201866271 0 0 
244062181 243968469 8 20 
213706744 213907852 2 4 
240305843 240550817 3 10 
223428227 223356943 10 4 
228088650 228172517 59 1 
213180182 212968912 0 9 
211508005 211605135 3 2 
254283621 254336839 0 3 
248984459 249085524 0 20 
262825650 262737001 0 34 
237341807 237461927 1 3 
240588486 240631959 0 1 
230276462 230115189 0 9 
216792398 216938589 0 4 
248751969 248641544 1 7 
212916655 213143927 1 13 
243521921 243614415 6 3 
259377738 259386592 12 9 
202376278 202454765 3 1 
211782568 212035543 0 19 
206651075 206467524 0 2 
208107697 208131534 17 0 
245493797 245591949 2 11 
209945398 210037085 3 1 
216589917 216613391 0 1 
265204579 265405539 1 45 
202502192 202408589 1 0 
237404765 237233070 9 2 
248240550 248376028 1 8 
263770427 263818016 0 0 
238630625 238428165 3 0 
212868589 212795059 10 1 
215057464 215083062 23 1 
244616890 244313669 1 0 
232100298 232153950 0 2 
236175767 235967407 4 4 
232600444 232670797 85 0 
202277663 202231835 3 0 
228762846 229031765 3 0 
247412992 247444082 16 3 
249690263 249497085 19 1 
246172191 246810158 0 0 
204928169 204770030 0 22 
203003250 202971047 2 15 
241236536 241323624 0 4 
222656486 222552611 0 0 
256013371 256210475 1 14 
206199744 206143372 3 13 
209573621 209423055 0 2 
252385308 252477001 0 2 
266604082 266561545 0 6 
208481139 208672371 0 1 
249769805 249591517 7 0 
208313240 208530075 4 0 
218403213 218639832 2 7 
266425404 266410563 2 1 
247921246 247887894 9 5 
242715593 242993086 19 0 
213734294 213535071 13 1 
247184956 247408456 1 3 
239263729 239388604 4 0 
266997809 266906084 2 0 
205672376 205673828 2 8 
224220308 224130044 0 1 
228650598 228526346 2 12 
207071935 206933263 0 17 
211529708 212011523 1 1 
261344611 261370856 0 9 
249726461 249707257 14 3 
220111700 220103700 2 0 
241608880 241669650 8 1 
231531915 231175481 1 0 
207065734 206973871 8 0 
253569286 253581733 0 6 
210152608 210089011 2 5 
225006026 224743485 4 2 
224148628 223978119 2 0 
212863902 212857708 2 0 
260692268 260573892 0 35 
214224533 214162622 2 2 
256257959 256107714 5 24 
244647623 244674979 7 5 
222445534 222399042 16 0 
249889177 249792804 8 0 
246202737 246184596 2 0 
206663097 206784143 0 1 
238385861 238503863 0 5 
257338429 257574707 12 9 
217760409 217773737 4 0 
227579618 227677706 3 8 
237035903 236895001 2 3 
239261899 239099859 6 1 
223396004 223384637 16 1 
204760674 204719403 1 2 
264104553 263814231 14 3 
261945721 261661451 0 5 
228274726 228355469 9 6 
248314066 248340057 1 7 
249295526 249332217 0 0 
263975829 263995010 2 0 
258631625 258694154 15 4 
239921467 239874137 0 4 
235940560 235741004 3 0 
257392828 257641242 16 2 
219120939 219125078 1 24 
258837641 258727762 0 1 
204964233 204880030 0 3 
235990791 235891774 0 10 
245942062 245850042 4 9 
258765869 258934699 16 4 
206273517 206329507 0 0 
217218188 216900102 93 12 
222543175 222830100 5 3 
202740989 202824969 2 9 
214564367 214738549 4 1 
265361308 265474879 2 1 
253784211 253685341 0 1 
265255805 265385916 2 1 
202964134 203002889 11 0 
236662775 236454076 6 2 
217483444 217510069 0 0 
242608011 242444459 15 0 
258137323 258124521 0 13 
209061658 209076572 3 91 
260751750 260762011 23 0 
220186320 219998414 2 1 
249987413 250111129 3 29 
227135476 226985698 0 0 
235806638 235945752 4 5 
210343539 210269422 5 10 
223802678 224094063 0 3 
203040667 203242183 0 7 
209537062 209737452 1 15 
220344632 220568963 2 4 
219898774 219823477 14 8 
230004667 229895267 0 4 
225383739 225284457 3 13 
249731866 249760066 0 14 
228266263 228651973 0 120 
244818745 244899883 1 3 
232792956 232600393 2 11 
221687262 221526138 2 0 
208629845 208477803 2 8 
211105464 211482876 4 0 
252174721 251864310 5 3 
227287272 227310887 1 0 
208935709 209044502 1 1 
243340444 243389757 4 2 
203085591 202919991 4 5 
205015594 205162027 1 1 
201437334 201496515 1 6 
246852466 246803430 3 3 
261186214 261135152 1 5 
259681787 259651941 0 2 
261615652 261687286 2 57 
266336933 266633098 5 2 
213078888 213009130 9 2 
240322239 240296907 11 2 
239453038 239324602 6 2 
244629177 244962794 8 0 
224207819 224261005 0 14 
235906568 235863405 3 2 
243849390 243804677 2 4 
221376853 221587381 0 0 
213958292 214039079 0 1 
211112968 211084448 0 7 
250943815 250542287 2 2 
217801546 217458099 0 1 
205679087 205524987 0 7 
220150119 220170330 7 2 
235191105 235248762 8 1 
255162129 255201315 0 1 
218208567 218206972 11 3 
202671169 202918158 1 1 
221916198 221700934 1 3 
253664431 253916022 5 2 
264545685 264529782 3 0 
251056668 251070904 5 2 
234352703 234493213 25 2 
219931147 219763341 22 2 
259005823 259003990 1 0 
217225793 216872909 2 29 
211115321 211552000 3 14 
225888095 225689288 3 0 
232859650 232806403 3 6 
265166683 264938553 10 0 
261017006 260997295 0 1 
203503209 203713769 3 5 
263389904 262996055 7 5 
264853110 265150847 2 9 
204788182 204688668 5 1 
210520844 210456203 9 3 
248252456 248302212 1 18 
230898282 230924354 2 2 
217609993 217625427 6 0 
207571304 207548366 10 4 
252004703 252104526 1 7 
249965169 249808417 5 0 
234799694 234863039 23 7 
202080558 201874898 0 1 
265623723 265597160 1 0 
226822969 227313981 6 0 
255827959 256033775 4 14 
227254494 227124141 1 4 
259919193 259851266 2 16 
228923148 228854329 11 0 
233239890 233441607 1 1 
216757593 216553073 5 4 
232113322 232304285 5 5 
217865965 217605214 20 0 
262144798 262137506 0 0 
244068496 243947345 3 0 
255974998 255838851 10 1 
264498535 264479860 7 1 
230946651 230809847 1 1 
209547376 209517080 3 16 
240882900 240972640 1 1 
214227158 214299847 4 3 
267188081 266954188 0 1 
247937578 248026791 0 2 
210580013 210767795 5 13 
213665793 213525248 11 9 
245088528 245126190 5 0 
233571381 233474809 39 0 
261648422 261454596 14 5 
241244047 241093106 4 0 
238435343 238142682 0 11 
251946039 252017098 2 7 
205337260 205463949 6 10 
235485679 235593644 12 0 
266523337 266478041 0 1 
239369615 239495704 5 0 
213621842 213788965 7 0 
239398223 239170736 0 0 
264486575 264337164 4 17 
206940450 206864805 1 0 
246173791 246244643 0 1 
260325452 260769906 2 1 
201367587 201311202 6 1 
252188769 252119801 16 6 
223204283 223485389 2 3 
246237201 246463194 0 6 
264692738 264490614 6 1 
218532500 218488397 1 3 
254746117 254726694 2 2 
220914955 220467145 2 0 
264619964 264636149 3 52 
201621782 201746962 1 8 
242535268 242745169 0 4 
260364991 260208642 1 0 
201662734 201435520 3 0 
212393298 212271641 3 1 
216425123 216607861 3 9 
243207157 243369525 9 1 
203147640 203339539 13 0 
211454601 211431857 6 1 
202460127 202686965 1 1 
250044757 250161244 0 10 
203123793 202969161 3 2 
222157153 222275375 10 3 
209766984 209406478 1 3 
207814930 207604485 0 1 
224703070 224816864 8 2 
242114270 242513050 3 0 
267627931 267721066 3 0 
239931290 239850378 0 1 
267992390 267749225 5 7 
260556514 260558143 0 0 
215160889 215092990 0 0 
236837525 237054200 14 0 
233253387 233172690 3 0 
204812970 204725256 2 378 
240015036 240014524 5 0 
229010718 228933359 0 2 
203125883 203272057 9 3 
253366073 253519471 1 0 
248136268 247742639 8 0 
213715663 213820136 1 9 
208996314 209067984 2 0 
202984588 203407956 12 4 
212845119 213028673 9 2 
240499286 240429864 2 0 
265052779 264807276 1 6 
201762814 201691932 0 17 
265993813 265620666 4 3 
219940632 220124296 0 5 
223716652 223891259 12 7 
226425246 226489534 23 2 
254177590 254272977 0 1 
225366357 225332607 0 5 
231284755 231246066 1 46 
208738056 208680490 12 3 
259549751 259237648 0 22 
230474671 230476397 4 0 
204449132 204563723 5 5 
204148377 203927437 14 2 
253375558 253455775 10 0 
203035375 202960532 4 21 
205052435 205002688 0 15 
212110386 212185741 0 2 
214319080 214353377 1 1 
240520342 240325336 1 6 
254598102 254500126 3 7 
202782506 202649466 4 6 
240969095 240959742 6 11 
224479510 224322015 0 3 
257392597 257564079 1 3 
215852481 215702657 3 25 
247297763 247089148 6 4 
205555801 205513378 1 2 
211455514 211484608 1 13 
214922352 214925922 19 0 
214423379 214184579 6 27 
231840130 231610994 0 10 
234279905 234012306 0 2 
264706686 264598085 3 7 
238247120 237997041 1 2 
226180398 226058633 5 1 
219220854 219362132 2 3 
263035279 263172878 4 5 
235878069 235887125 4 0 
243735328 243801707 1 4 
219840426 219597811 6 0 
243551810 243294960 1 2 
201869509 201488057 3 16 
229477102 229400099 2 5 
247243364 247324458 0 0 
246988294 246908823 6 83 
251469719 251674816 1 4 
262740029 262518781 7 0 
214079749 214006507 2 3 
