2.8e-09 1.8125 2.39062 0 221684528 8 221477344 0
2.8e-09 1.60938 2.01562 0 240713208 1 240653560 11
2.8e-09 2.125 2.53125 0 230923916 1 230940536 8
2.8e-09 1.60938 2.01562 0 240659500 1 240722466 8
2.8e-09 1.71875 2.28125 0 201394127 8 201520741 0
2.8e-09 1.73438 2.3125 0 256237082 3 256260581 16
2.8e-09 2.20312 2.76562 0 266952456 14 266867391 0
2.8e-09 1.84375 2.42188 0 210334291 8 210490754 2
2.8e-09 1.84375 2.40625 0 214397493 3 214600125 7
2.8e-09 2.29688 2.85938 0 225955056 5 226143416 1
2.8e-09 2.17188 2.73438 0 211708349 0 211637273 16
2.8e-09 1.875 2.4375 0 202440937 8 202492250 0
2.8e-09 2.0625 2.46875 0 259635324 1 259730164 5
2.8e-09 1.71875 2.29688 0 263299363 5 263338982 8
2.8e-09 1.89062 2.45312 0 264363481 0 264292316 0
2.8e-09 2.20312 2.76562 0 201746956 1 201761970 0
2.8e-09 1.71875 2.29688 0 262844711 12 262858340 2
2.8e-09 1.82812 2.40625 0 215665139 2 215893131 0
2.8e-09 2.59375 3 0 235146541 5 234924983 0
2.8e-09 2.40625 2.98438 0 247770645 12 247670979 1
2.8e-09 2.125 2.53125 0 232169609 38 232141336 4
2.8e-09 1.60938 2.01562 0 239677934 6 239676933 0
2.8e-09 1.625 2.03125 0 233377635 6 233536166 3
2.8e-09 2.17188 2.73438 0 214268497 3 214122973 0
2.8e-09 2.67188 3.07812 0 208823581 1 208580653 2
2.8e-09 2.21875 2.78125 0 260041313 8 259874474 12
2.8e-09 1.79688 2.35938 0 233573933 0 233463179 2
2.8e-09 1.8125 2.39062 0 224226216 0 224156582 1
2.8e-09 1.70312 2.26562 0 205470873 2 205406840 1
2.8e-09 2.34375 2.92188 0 205207751 0 205286868 0
2.8e-09 1.75 2.3125 0 252421542 2 252539894 3
2.8e-09 1.85938 2.4375 0 206011661 0 206058109 0
2.8e-09 2.29688 2.875 0 223057588 0 223228277 8
2.8e-09 2.0625 2.46875 0 259734620 3 259768521 37
2.8e-09 2.28125 2.84375 0 233302510 0 233542056 0
2.8e-09 2.125 2.53125 0 232001677 25 231945963 2
2.8e-09 1.76562 2.34375 0 241468116 17 241288562 0
2.8e-09 1.75 2.3125 0 253942503 1 254013539 6
2.8e-09 1.84375 2.40625 0 213189357 0 213153982 2
2.8e-09 2.0625 2.46875 0 256280482 2 256038239 3
2.8e-09 2.3125 2.875 0 220866676 5 220892369 0
2.8e-09 1.59375 2 0 248208115 8 248273303 37
2.8e-09 1.59375 2 0 249509040 3 249355031 2
2.8e-09 1.73438 2.29688 0 261527438 14 261498080 0
2.8e-09 1.84375 2.40625 0 213462049 0 213422091 0
2.8e-09 2.0625 2.46875 0 255379588 4 255193692 25
2.8e-09 1.71875 2.29688 0 262061755 14 261918662 7
2.8e-09 1.73438 2.29688 0 259232241 5 259162326 18
2.8e-09 2.40625 2.96875 0 250800074 6 250796833 10
2.8e-09 1.59375 2 0 248958784 4 248853817 2
2.8e-09 1.57812 1.98438 0 252308753 4 252236860 2
2.8e-09 1.65625 2.21875 0 223519398 1 223483854 0
2.8e-09 2.0625 2.46875 0 256317040 23 256367808 33
2.8e-09 1.59375 2 0 247859934 80 247656987 4
2.8e-09 2.125 2.53125 0 229102084 0 229110700 0
2.8e-09 2.07812 2.48438 0 249695320 4 249870800 2
2.8e-09 1.76562 2.32812 0 244325929 9 244232588 3
2.8e-09 2.0625 2.46875 0 257394393 35 257201288 7
2.8e-09 1.75 2.3125 0 253596291 17 253480479 14
2.8e-09 1.89062 2.45312 0 261370764 0 261339316 1
2.8e-09 1.71875 2.29688 0 264526957 11 264658618 0
2.8e-09 2.15625 2.5625 0 219442104 7 219517757 8
2.8e-09 2.28125 2.84375 0 233846586 0 233717420 0
2.8e-09 1.85938 2.4375 0 206197384 1 206103873 7
2.8e-09 2.60938 3.01562 0 233801341 0 233845075 4
2.8e-09 1.75 2.3125 0 253937682 1 253844968 0
2.8e-09 2.28125 2.84375 0 235089977 0 234967263 1
2.8e-09 2.10938 2.51562 0 237108979 1 237113689 2
2.8e-09 1.67188 2.23438 0 219041280 0 218906324 0
2.8e-09 2.125 2.53125 0 231488015 5 231378445 9
2.8e-09 2.20312 2.78125 0 264074134 1 264146897 2
2.8e-09 2.39062 2.95312 0 257764177 7 257695501 7
2.8e-09 1.64062 2.04688 0 231383990 4 231452971 0
2.8e-09 1.60938 2.01562 0 239685464 7 239880468 2
2.8e-09 1.8125 2.39062 0 223666416 0 223492844 4
2.8e-09 1.8125 2.39062 0 223564267 3 223646872 0
2.8e-09 1.875 2.4375 0 202497423 16 202201327 1
2.8e-09 1.6875 2.26562 0 209774516 15 209798808 1
2.8e-09 2.6875 3.25 0 201660435 9 201623202 1
2.8e-09 1.64062 2.04688 0 228198232 0 227982250 14
2.8e-09 1.6875 2.26562 0 208125011 1 208115083 7
2.8e-09 2.20312 2.76562 0 267173048 0 267040501 13
2.8e-09 1.64062 2.04688 0 226319696 4 226210058 7
2.8e-09 2.20312 2.76562 0 201545880 9 201395444 4
2.8e-09 1.59375 2.01562 0 244922065 2 244805385 1
2.8e-09 1.625 2.03125 0 232325988 0 232157389 1
2.8e-09 1.79688 2.35938 0 231981131 0 231795098 2
2.8e-09 2.32812 2.89062 0 213878358 1 213411270 16
2.8e-09 2.09375 2.5 0 242898750 0 242876012 2
2.8e-09 2.65625 3.0625 0 214318590 4 214385558 0
2.8e-09 2.09375 2.5 0 243972280 0 243723676 3
2.8e-09 1.73438 2.29688 0 261043422 7 261087458 0
2.8e-09 2.125 2.53125 0 232527387 0 232450614 27
2.8e-09 1.8125 2.39062 0 222002628 2 221974774 2
2.8e-09 2.32812 2.89062 0 216738635 14 216518161 0
2.8e-09 1.76562 2.34375 0 242513541 1 242566699 6
2.8e-09 2.07812 2.48438 0 250159768 3 249887278 1
2.8e-09 1.60938 2.01562 0 244573647 4 244363912 0
2.8e-09 1.78125 2.34375 0 238632614 7 238717864 1
2.8e-09 1.71875 2.29688 0 261923194 2 262013396 11
2.8e-09 2.21875 2.79688 0 258199318 30 258219669 4
2.8e-09 1.60938 2.01562 0 240154213 1 240165472 4
2.8e-09 2.17188 2.75 0 209613578 4 209696686 33
2.8e-09 1.71875 2.29688 0 263118309 13 263150375 8
2.8e-09 1.60938 2.01562 0 241832207 15 241702240 0
2.8e-09 1.79688 2.35938 0 232270647 4 232474717 20
2.8e-09 1.625 2.03125 0 235376280 12 235344696 1
2.8e-09 1.67188 2.23438 0 217113869 16 217177364 13
2.8e-09 1.75 2.3125 0 251600231 29 251481800 10
2.8e-09 2.23438 2.8125 0 250503991 2 250191315 24
2.8e-09 1.75 2.3125 0 251189877 2 250974032 6
2.8e-09 2.375 2.95312 0 259297696 19 259350045 0
2.8e-09 1.82812 2.40625 0 216095394 38 216086974 4
2.8e-09 2.375 2.9375 0 266065842 0 265701541 1
2.8e-09 2.23438 2.79688 0 252284382 0 252401178 2
2.8e-09 1.65625 2.23438 0 220681036 0 220773998 11
2.8e-09 1.75 2.32812 0 248854355 4 248594626 1
2.8e-09 1.78125 2.35938 0 234613345 6 234786927 1
2.8e-09 1.85938 2.42188 0 209321586 8 209447079 2
2.8e-09 1.67188 2.23438 0 217965451 14 217987820 0
2.8e-09 2.375 2.9375 0 263236313 4 263180453 1
2.8e-09 1.78125 2.35938 0 236770803 6 236716515 1
2.8e-09 2.26562 2.82812 0 238910784 0 238927133 2
2.8e-09 2.32812 2.90625 0 212459563 0 212593921 2
2.8e-09 2.34375 2.90625 0 209020238 5 208851938 0
2.8e-09 2.0625 2.46875 0 257287554 1 257140945 1
2.8e-09 1.59375 2 0 250726157 0 250601407 1
2.8e-09 2.28125 2.84375 0 234532652 9 234398674 2
2.8e-09 2.32812 2.90625 0 211364793 1 211308514 0
2.8e-09 1.70312 2.28125 0 202461106 14 202287668 0
2.8e-09 2.34375 2.90625 0 209994899 14 210014192 1
2.8e-09 2.09375 2.5 0 243476090 6 243423424 16
2.8e-09 1.67188 2.23438 0 218674721 0 218641778 4
2.8e-09 1.71875 2.28125 0 266511407 10 266416765 0
2.8e-09 1.75 2.3125 0 253755441 2 253906141 0
2.8e-09 1.64062 2.04688 0 229428788 14 229365770 0
2.8e-09 2.39062 2.96875 0 254410673 6 254857880 0
2.8e-09 1.65625 2.21875 0 223128581 3 223242745 8
2.8e-09 2.60938 3.01562 0 230301029 29 230606121 10
2.8e-09 2.10938 2.51562 0 234461988 1 234762690 1
2.8e-09 1.64062 2.04688 0 225741767 5 225680409 6
2.8e-09 1.8125 2.39062 0 224427007 0 224241854 8
2.8e-09 2.28125 2.84375 0 232734578 0 232733967 0
2.8e-09 2.14062 2.54688 0 224157867 16 224296034 0
2.8e-09 2.20312 2.76562 0 202465443 5 202494234 1
2.8e-09 1.64062 2.04688 0 228267088 0 228053479 3
2.8e-09 2.26562 2.82812 0 241071512 5 241001340 10
2.8e-09 1.67188 2.25 0 215782202 9 215883510 6
2.8e-09 2.29688 2.85938 0 226122545 1 226060412 16
2.8e-09 1.6875 2.26562 0 209977129 0 210058964 12
2.8e-09 2.10938 2.51562 0 235554875 13 235497115 3
2.8e-09 2.125 2.53125 0 231736347 0 231393530 4
2.8e-09 2.21875 2.79688 0 257351340 0 257498296 6
2.8e-09 2.14062 2.54688 0 225306971 0 225258538 12
2.8e-09 1.67188 2.23438 0 217221887 0 217251209 1
2.8e-09 2.14062 2.54688 0 223227407 6 223091002 4
2.8e-09 2.15625 2.5625 0 218909131 1 218972255 6
2.8e-09 2.17188 2.73438 0 214449344 0 214249323 3
2.8e-09 1.64062 2.04688 0 229337152 25 229224483 10
2.8e-09 1.625 2.03125 0 236235109 15 236313650 13
2.8e-09 1.64062 2.04688 0 228126546 8 227979833 5
2.8e-09 1.76562 2.32812 0 244201758 9 244135346 4
2.8e-09 1.60938 2.01562 0 241221814 3 241316315 1
2.8e-09 1.8125 2.39062 0 223684259 5 223847365 4
2.8e-09 1.625 2.03125 0 236414999 0 236500382 3
2.8e-09 1.875 2.4375 0 202528831 7 202525553 4
2.8e-09 1.6875 2.26562 0 208367534 9 208307389 3
2.8e-09 2.39062 2.96875 0 253408406 2 253425726 2
2.8e-09 2.21875 2.79688 0 256344113 4 256378148 1
2.8e-09 2.20312 2.76562 0 202675620 0 202365161 0
2.8e-09 1.67188 2.23438 0 217566393 16 217674369 0
2.8e-09 1.60938 2.01562 0 243941066 2 243971021 0
2.8e-09 1.67188 2.23438 0 218168580 10 218146998 1
2.8e-09 1.84375 2.40625 0 213107570 0 213090599 1
2.8e-09 1.64062 2.04688 0 229414937 9 229535563 11
2.8e-09 2.39062 2.96875 0 254460555 15 254127425 7
2.8e-09 1.60938 2.01562 0 242571503 24 242645156 3
2.8e-09 1.85938 2.42188 0 208510941 1 208409712 3
2.8e-09 2.10938 2.51562 0 234748772 8 234813467 16
2.8e-09 1.59375 2 0 250541802 0 250475724 0
2.8e-09 2.15625 2.5625 0 218787392 0 218914174 0
2.8e-09 1.8125 2.39062 0 222997541 0 222923687 1
2.8e-09 1.82812 2.40625 0 216821716 2 216593297 12
2.8e-09 2.64062 3.04688 0 216185216 7 216494896 0
2.8e-09 2.0625 2.46875 0 259698626 0 259958046 3
2.8e-09 1.82812 2.39062 0 220353797 1 220218846 0
2.8e-09 2.29688 2.875 0 223224959 0 223227890 1
2.8e-09 2.09375 2.5 0 240879931 6 240933189 22
2.8e-09 2.25 2.8125 0 246742568 2 246887511 5
2.8e-09 2.10938 2.51562 0 236144863 2 235949388 5
2.8e-09 2.14062 2.54688 0 221938150 29 222011249 1
2.8e-09 1.59375 2 0 245837069 0 246130344 0
2.8e-09 2.64062 3.04688 0 218015259 0 217923227 2
2.8e-09 2.15625 2.5625 0 219254767 5 219432263 0
2.8e-09 1.64062 2.04688 0 229279263 0 229153920 7
2.8e-09 2.57812 2.98438 0 243610126 0 243758422 7
2.8e-09 1.89062 2.45312 0 260699341 1 260754789 0
2.8e-09 1.60938 2.01562 0 242027453 1 242157781 2
2.8e-09 2.375 2.95312 0 259887275 0 259665174 13
2.8e-09 2.20312 2.78125 0 263910619 0 263559282 3
2.8e-09 2.0625 2.46875 0 258972117 54 259000624 2
2.8e-09 1.67188 2.25 0 215783764 1 215818814 10
2.8e-09 2.21875 2.79688 0 258879369 3 259026640 0
2.8e-09 2.09375 2.5 0 243843578 20 243981767 0
