0.004726	-0.0004
0.02497	-0.0001
0.04615	-0.0004
0.05208	-0.0008
0.05782	0.00009999
0.06393	0.0005
0.06967	0.0004
0.0754	-0.0002
0.08114	-0.0003
0.08687	-0.0001
0.0926	0.0002
0.09833	-0.0005
0.1041	-0.0003
0.1098	0.0029
0.1155	0.0041
0.1213	0.0046
0.127	0.0043
0.1327	0.0048
0.1385	0.0045
0.1442	0.0042
0.1499	0.0046
0.1556	0.0048
0.1613	0.0043
0.1671	0.0042
0.1728	0.0044
0.1785	0.0046
0.1843	0.0045
0.19	0.0042
0.1957	0.0046
0.2015	0.0046
0.2072	0.0041
0.2129	0.0047
0.2187	0.0046
0.2243	0.0043
0.23	0.0044
0.2358	0.004
0.2415	0.005
0.2473	0.0045
0.253	0.0053
0.2587	0.0053
0.2644	0.0044
0.2702	0.0056
0.2758	0.0055
0.2816	0.0048
0.2873	0.004
0.293	0.0042
0.2988	0.0048
0.3045	0.005
0.3102	0.0054
0.3159	0.0051
0.3216	0.0051
0.3274	0.0053
0.3331	0.0057
0.3388	0.0056
0.3446	0.0052
0.3503	0.0055
0.356	0.0053
0.3618	0.0056
0.3675	0.0051
0.3732	0.0051
0.379	0.0058
0.3847	0.0059
0.3904	0.0055
0.3962	0.0053
0.4019	0.0059
0.4076	0.0057
0.4134	0.0062
0.4191	0.0054
0.4248	0.0063
0.4305	0.0058
0.4362	0.0065
0.4419	0.006
0.4475	0.0063
0.4533	0.006
0.4589	0.0069
0.4647	0.0067
0.4703	0.0063
0.4761	0.0065
0.4817	0.0064
0.4875	0.0061
0.4932	0.0068
0.4989	0.0062
0.5047	0.0075
0.5245	0.0073
0.5447	0.0052
0.5506	0.0057
0.5564	0.0056
0.5621	0.0052
0.5678	0.0058
0.5736	0.0064
0.5793	0.006
0.585	0.0059
0.5908	0.0066
0.5965	0.0057
0.6022	0.0056
0.6079	0.0055
0.6136	0.0061
0.6194	0.0071
0.6251	0.0069
0.6307	0.0058
0.6365	0.007
0.6422	0.0065
0.6479	0.0063
0.6536	0.0075
0.6593	0.0061
0.665	0.007
0.6707	0.0077
0.6766	0.007
0.6823	0.0066
0.69	0.0073
0.6956	0.007
0.7014	0.0069
0.707	0.0068
0.7127	0.0069
0.7184	0.0081
0.7241	0.0073
0.7299	0.008
0.7363	0.008
0.7421	0.0082
0.7478	0.0073
0.7546	0.0078
0.7604	0.0078
0.7665	0.0078
0.7722	0.0072
0.7779	0.0078
0.7837	0.0072
0.7894	0.0083
0.7951	0.0089
0.8008	0.0089
0.8066	0.0085
0.8123	0.0084
0.8181	0.0079
0.8238	0.009
0.8295	0.009
0.8352	0.0093
0.841	0.0087
0.8467	0.0092
0.8524	0.0099
0.8582	0.0091
0.8639	0.0092
0.8696	0.0088
0.8754	0.0098
0.8819	0.0105
0.8876	0.0091
0.8944	0.0097
0.9001	0.0095
0.9058	0.0097
0.9124	0.0098
0.9185	0.0104
0.9243	0.0108
0.9299	0.0112
0.9357	0.0111
0.9414	0.0111
0.9479	0.0115
0.9537	0.0107
0.9594	0.0112
0.9652	0.0114
0.9713	0.0108
0.9774	0.0109
0.9832	0.0112
0.9889	0.0114
0.9946	0.0123
1.	0.0119
1.006	0.0115
1.026	0.0134
1.048	0.0093
1.054	0.0095
1.059	0.0096
1.065	0.0102
1.071	0.0097
1.076	0.0095
1.082	0.0094
1.088	0.0097
1.094	0.01
1.099	0.01
1.105	0.0108
1.111	0.0097
1.117	0.01
1.122	0.0111
1.128	0.0116
1.134	0.0106
1.14	0.0109
1.145	0.0117
1.151	0.0118
1.157	0.0118
1.162	0.012
1.168	0.0121
1.175	0.012
1.18	0.0133
1.186	0.0123
1.192	0.0125
1.198	0.0128
1.204	0.0131
1.21	0.0134
1.216	0.014
1.221	0.0126
1.227	0.0136
1.233	0.014
1.239	0.0142
1.245	0.0138
1.251	0.0156
1.256	0.0142
1.262	0.0141
1.268	0.0151
1.274	0.0152
1.279	0.0139
1.285	0.0155
1.291	0.0149
1.297	0.0155
1.303	0.015
1.308	0.0152
1.314	0.0161
1.32	0.0148
1.326	0.0159
1.331	0.0166
1.337	0.0159
1.343	0.0166
1.349	0.0167
1.354	0.0168
1.36	0.0169
1.366	0.017
1.372	0.0171
1.378	0.0176
1.384	0.0177
1.39	0.019
1.396	0.0179
1.402	0.0191
1.408	0.0191
1.414	0.0203
1.419	0.0195
1.425	0.0202
1.431	0.0209
1.437	0.0196
1.442	0.021
1.448	0.0196
1.454	0.021
1.46	0.022
1.465	0.0207
1.471	0.0219
1.477	0.021
1.483	0.021
1.489	0.0216
1.494	0.0228
1.5	0.0223
1.506	0.0218
1.526	0.0233
1.546	0.0181
1.553	0.0181
1.558	0.018
1.564	0.0191
1.57	0.0186
1.575	0.0188
1.581	0.02
1.587	0.0202
1.593	0.0203
1.598	0.0202
1.604	0.0199
1.61	0.0206
1.616	0.0207
1.622	0.0209
1.628	0.0223
1.634	0.0216
1.64	0.0208
1.645	0.0219
1.651	0.0214
1.658	0.0212
1.664	0.0219
1.669	0.0225
1.675	0.0231
1.681	0.0235
1.687	0.0244
1.692	0.0232
1.698	0.0237
1.704	0.0234
1.71	0.0243
1.715	0.0237
1.721	0.0236
1.727	0.0254
1.732	0.0265
1.738	0.0248
1.744	0.0256
1.75	0.0252
1.756	0.025
1.762	0.0271
1.767	0.0257
1.773	0.0279
1.779	0.0271
1.785	0.028
1.79	0.0272
1.797	0.0284
1.803	0.0298
1.809	0.0285
1.816	0.0318
1.822	0.0307
1.828	0.0309
1.833	0.0306
1.84	0.0312
1.846	0.0303
1.851	0.0301
1.857	0.0312
1.863	0.0333
1.869	0.0304
1.875	0.0306
1.881	0.0327
1.886	0.0318
1.892	0.033
1.898	0.0328
1.904	0.0339
1.909	0.0352
1.915	0.0363
1.921	0.037
1.927	0.0357
1.932	0.0353
1.938	0.0356
1.944	0.0355
1.95	0.0375
1.956	0.0372
1.961	0.0395
1.967	0.0367
1.973	0.0406
1.978	0.0387
1.984	0.0394
1.99	0.0385
1.996	0.0422
2.001	0.0404
2.007	0.0407
2.027	0.0425
2.049	0.0349
2.054	0.0335
2.06	0.0341
2.066	0.0341
2.072	0.0332
2.077	0.0352
2.083	0.0356
2.089	0.034
2.095	0.0368
2.1	0.0362
2.106	0.0371
2.112	0.0366
2.118	0.0383
2.124	0.0376
2.13	0.0389
2.135	0.0375
2.142	0.037
2.148	0.0397
2.154	0.0395
2.159	0.0394
2.165	0.0393
2.171	0.0416
2.177	0.0404
2.182	0.0418
2.188	0.0405
2.194	0.0422
2.199	0.0421
2.205	0.0429
2.211	0.0441
2.217	0.0447
2.222	0.0442
2.228	0.0448
2.234	0.0448
2.24	0.0464
2.245	0.0478
2.251	0.0482
2.257	0.0488
2.263	0.048
2.268	0.0465
2.274	0.0485
2.28	0.05
2.286	0.0484
2.291	0.0499
2.298	0.0519
2.304	0.0528
2.31	0.0526
2.316	0.0501
2.322	0.0541
2.328	0.0542
2.335	0.0565
2.341	0.0565
2.346	0.0548
2.352	0.0567
2.358	0.0576
2.364	0.0623
2.37	0.057
2.376	0.0597
2.381	0.0598
2.387	0.0604
2.393	0.061
2.398	0.0616
2.404	0.0615
2.41	0.0633
2.416	0.0621
2.421	0.0651
2.427	0.0658
2.433	0.0653
2.439	0.0651
2.445	0.0689
2.45	0.0668
2.456	0.067
2.462	0.0676
2.468	0.0685
2.473	0.0722
2.48	0.0694
2.485	0.0714
2.491	0.0735
2.497	0.0732
2.503	0.0727
2.509	0.0753
2.528	0.0766
2.549	0.06
2.555	0.0609
2.561	0.0625
2.566	0.0641
2.572	0.0619
2.578	0.0633
2.584	0.0619
2.589	0.0672
2.595	0.0649
2.601	0.0672
2.606	0.0693
2.612	0.069
