2.8e-09 24.0625 2.4375 8.9375 3 25457987 1 368879576
2.8e-09 infty 2.48438 8.98438 176 0 167 0
2.8e-09 21.5469 2.54688 9.04688 0 96020094 0 386424818
2.8e-09 19.6406 2.84375 9.03125 0 46 0 481866095
2.8e-09 infty 2.95312 8.98438 160 2303 160 0
2.8e-09 25.7031 2.39062 9.0625 8 0 6 468848146
2.8e-09 20.4062 2.29688 8.96875 0 104036 0 408608360
2.8e-09 19.9844 2.45312 8.95312 0 468953619 0 0
2.8e-09 23.6562 2.46875 8.98438 0 289393 0 471975974
2.8e-09 19.5469 2.375 9.04688 0 2967 0 429432729
2.8e-09 22.0781 2.28125 8.9375 1 0 0 472132590
2.8e-09 25.7812 2.54688 9.0625 7 0 12 497179669
2.8e-09 24.125 2.48438 9 2 3337580 4 390679457
2.8e-09 21.4062 2.5 9.01562 0 457951160 0 0
2.8e-09 21.3125 2.25 8.90625 0 45947778 0 465217371
2.8e-09 25.7344 2.5 9 7 395620643 7 0
2.8e-09 24.7969 2.23438 9.04688 5 64098 3 458590450
2.8e-09 infty 2.875 9.0625 186 0 186 0
2.8e-09 26.125 3.01562 9.0625 9 406638907 4 633830
2.8e-09 infty 2.28125 8.9375 181 13268329 163 0
2.8e-09 20.5938 2.54688 9.04688 0 437036 0 404618441
2.8e-09 24.2656 2.8125 9.01562 1 395701845 1 35807597
2.8e-09 28.6875 2.21875 9.04688 86 21544459 86 398623167
2.8e-09 26.5781 2.5 9 12 0 14 443045947
2.8e-09 infty 2.3125 8.98438 148 196218 154 0
2.8e-09 21.2188 2.40625 9.0625 0 463296411 0 0
2.8e-09 infty 2.375 9.04688 180 0 173 0
2.8e-09 26.5469 2.25 8.92188 19 0 35 461164982
2.8e-09 infty 2.48438 9 214 2877999 188 137708869
2.8e-09 infty 2.28125 8.95312 158 0 159 10638
2.8e-09 infty 2.25 8.92188 200 14828 190 0
2.8e-09 23.4688 2.79688 8.98438 0 461826914 2 0
2.8e-09 24.6719 3.26562 8.98438 3 2397 0 489254430
2.8e-09 23.0156 2.92188 8.96875 1 142 1 428862304
2.8e-09 28.0469 2.73438 8.92188 60 437903366 55 0
2.8e-09 18.375 2.32812 8.98438 0 59356327 0 433718868
2.8e-09 18.875 2.90625 8.9375 0 445312863 0 78868
2.8e-09 infty 2.48438 9 238 0 219 0
2.8e-09 22.0625 2.25 8.92188 0 0 0 477398649
2.8e-09 21.0156 2.34375 9.01562 0 437249595 0 0
2.8e-09 infty 3.25 8.96875 204 0 175 26194396
2.8e-09 19.875 2.3125 8.98438 0 0 0 428914152
2.8e-09 infty 2.23438 9.0625 201 0 209 0
2.8e-09 19.4062 2.82812 9.01562 0 0 0 411948758
2.8e-09 infty 2.29688 8.95312 174 147047464 161 283086
2.8e-09 infty 2.53125 9.04688 197 0 193 0
2.8e-09 24.0312 2.28125 8.95312 3 469281367 0 0
2.8e-09 25.1562 2.29688 8.96875 3 384177807 3 0
2.8e-09 infty 2.28125 8.95312 195 0 184 0
2.8e-09 19.9375 2.9375 8.96875 0 386367988 0 94890
2.8e-09 20.3281 2.89062 8.92188 0 487315860 0 0
2.8e-09 20.7969 2.75 8.9375 0 394355547 0 223905
2.8e-09 26.0781 2.46875 8.98438 6 0 14 431049319
2.8e-09 20.6875 2.51562 9.03125 0 378590530 0 27921637
2.8e-09 20.0156 2.8125 9 0 449966317 0 47716
2.8e-09 24.2656 2.51562 9.03125 1 436449611 0 0
2.8e-09 21.3438 2.76562 8.96875 0 0 0 505380948
2.8e-09 22.9688 2.32812 9 0 1021145 0 415756719
2.8e-09 infty 3.01562 9.04688 208 0 203 112635337
2.8e-09 26.5312 2.25 8.90625 18 400779238 17 653269
2.8e-09 27.6875 2.8125 9 33 0 43 446841191
2.8e-09 infty 2.48438 9 201 0 202 595022
2.8e-09 21.4219 2.92188 8.96875 0 447127016 0 0
2.8e-09 26.6406 2.35938 9.03125 16 0 17 464423479
2.8e-09 25.5469 2.28125 8.95312 7 440948840 12 0
2.8e-09 23.1094 2.04688 9.03125 0 0 0 478008040
2.8e-09 infty 2.28125 8.9375 184 0 171 0
2.8e-09 25.6875 2.82812 9.03125 5 423390449 8 0
2.8e-09 26.1406 2.95312 8.98438 11 0 13 397505380
2.8e-09 23.0312 2.3125 8.98438 1 422698445 0 0
2.8e-09 21.0625 2.21875 9.04688 0 405 0 408167932
2.8e-09 infty 2.79688 8.98438 172 0 166 0
2.8e-09 20.125 3.01562 9.0625 0 495559047 0 0
2.8e-09 21.1719 3.03125 9.0625 0 0 0 453277033
2.8e-09 19.4531 2.26562 8.9375 0 0 0 386038026
2.8e-09 23.7656 2.375 9.04688 1 1507 1 482432964
2.8e-09 infty 3.25 8.96875 184 0 152 0
2.8e-09 infty 2.28125 8.9375 170 2637310 139 0
2.8e-09 infty 2.9375 8.98438 164 0 180 0
2.8e-09 23.6875 2.84375 9.04688 0 384824816 1 23927266
2.8e-09 20.8438 2.26562 8.92188 0 483428619 1 361
2.8e-09 25.0781 2.21875 9.04688 3 128207111 3 275156307
2.8e-09 25.9688 2.42188 8.9375 11 436651277 8 101541
2.8e-09 infty 2.85938 9.04688 203 0 188 0
2.8e-09 20.4219 2.28125 8.95312 0 421093293 0 46730888
2.8e-09 infty 2.54688 9.04688 207 0 182 7450707
2.8e-09 21.5781 2.23438 9.0625 0 0 0 454941539
2.8e-09 26.625 2.375 9.03125 17 0 16 419214173
2.8e-09 21.5781 2.3125 8.98438 0 461213286 0 0
2.8e-09 infty 2.9375 8.96875 169 0 169 0
2.8e-09 20.6719 3.03125 9.0625 0 463258838 0 0
2.8e-09 20 2.54688 9.0625 0 462494753 0 0
2.8e-09 26.1406 3.25 8.96875 11 459164820 19 0
2.8e-09 26.7656 2.34375 9.01562 13 0 16 388082178
2.8e-09 infty 2.5 9 206 0 206 0
2.8e-09 20.5938 2.5625 9.0625 0 496765024 0 6
2.8e-09 27.1562 2.79688 9 7 0 7 445656996
2.8e-09 22.625 2.25 8.92188 0 2 0 427194926
2.8e-09 infty 3.03125 8.92188 179 0 193 0
2.8e-09 21.4844 2.75 8.9375 0 402313057 0 0
2.8e-09 infty 3.01562 9.0625 195 0 219 0
2.8e-09 23.1094 2.26562 8.9375 0 0 1 451395671
2.8e-09 24.9062 2.40625 8.92188 3 400839963 3 0
2.8e-09 23.1562 3.01562 9.04688 0 382523636 0 18304942
2.8e-09 20.6875 2.21875 9.04688 0 30 1 413015793
2.8e-09 20.5 2.46875 8.98438 0 486548299 0 325837
2.8e-09 21.4219 2.96875 9.01562 0 1312038 0 499245215
2.8e-09 22.1719 2.54688 9.0625 0 283645745 0 168778852
2.8e-09 21.125 2.84375 9.04688 0 18535887 0 484353381
2.8e-09 21.625 2.85938 9.0625 0 395476736 1 0
2.8e-09 21.4062 3.0625 8.9375 0 853934 0 451417028
2.8e-09 23.4375 2.79688 8.98438 0 497589280 1 0
2.8e-09 25.5156 2.5 9.01562 5 483065962 8 0
2.8e-09 25.0469 2.375 9.04688 0 406074331 2 0
2.8e-09 19.4375 2.32812 9 0 0 0 504256239
2.8e-09 29.2188 2.89062 8.92188 182 484257518 176 0
2.8e-09 18.4688 2.76562 8.95312 0 189680 0 490615210
2.8e-09 infty 2.34375 9 202 0 230 1325802
2.8e-09 19.6094 2.54688 9.04688 0 306129118 0 141413751
2.8e-09 20.4219 2.29688 8.96875 0 47036938 0 413978669
2.8e-09 27.7812 2.34375 9.01562 59 472969528 47 0
2.8e-09 24.9375 2.875 9.42188 2 215296698 4 172770703
2.8e-09 22.5 2.35938 9.03125 0 479051446 0 8572
2.8e-09 20.4219 2.35938 9.03125 0 398139362 0 27
2.8e-09 24.6406 2.21875 9.04688 5 1957323 2 441528332
2.8e-09 infty 2.23438 9.0625 195 1159402 186 0
2.8e-09 infty 2.29688 8.96875 195 0 194 0
2.8e-09 19.9531 2.78125 8.98438 0 506230099 0 0
2.8e-09 26.75 2.32812 9 13 399339521 14 0
2.8e-09 infty 2.8125 9 212 160601600 208 0
2.8e-09 infty 2.39062 9.0625 196 0 163 0
2.8e-09 22.4531 2.45312 8.96875 0 0 0 445424761
2.8e-09 20.4375 2.8125 9 0 249507921 0 153423161
2.8e-09 infty 2.9375 8.96875 185 0 172 0
2.8e-09 27.25 2.75 8.9375 30 464018386 35 0
2.8e-09 22.6719 2.9375 8.96875 0 448641 0 503964364
2.8e-09 22 2.5 9.01562 0 93 0 399460763
2.8e-09 24.9844 2.32812 8.98438 2 0 2 461122850
2.8e-09 23.5781 2.40625 8.92188 0 0 0 399032849
2.8e-09 26.7188 2.39062 9.0625 23 484824340 21 65944
2.8e-09 24.625 2.375 9.03125 1 13951 2 405975835
2.8e-09 21.125 2.5625 9.0625 0 427458199 0 29736507
2.8e-09 25.5 2.73438 8.92188 3 505110398 0 0
2.8e-09 infty 2.42188 8.92188 185 0 196 99272909
2.8e-09 26.75 2.42188 8.92188 28 393107956 24 0
2.8e-09 19.5938 2.21875 9.04688 0 22267685 0 471308375
2.8e-09 24.5469 2.92188 8.95312 4 64306356 2 321143494
2.8e-09 25.9531 2.5625 8.90625 5 0 3 393059733
2.8e-09 infty 2.76562 8.95312 174 0 176 0
2.8e-09 20.5469 2.875 9.0625 0 445582024 0 484367
2.8e-09 infty 2.51562 9.03125 197 0 214 0
2.8e-09 infty 2.82812 9.01562 194 0 224 9688
2.8e-09 30.0469 2.84375 9.03125 208 0 215 272732749
2.8e-09 23.6875 2.21875 9.04688 1 384967041 2 19894911
2.8e-09 22.375 2.26562 8.92188 0 0 0 477139632
2.8e-09 27.2188 2.92188 8.95312 33 1119 29 436734609
2.8e-09 infty 2.875 8.92188 186 0 174 7306263
2.8e-09 20.4375 2.875 9.0625 0 406337741 0 0
2.8e-09 21.9531 3.26562 8.98438 0 494180186 0 0
2.8e-09 20.875 2.26562 8.92188 0 415347350 0 0
2.8e-09 23.1719 2.5 9 0 200887 0 410050907
2.8e-09 infty 3 9.03125 192 94842937 185 8186507
2.8e-09 20.4375 2.9375 8.96875 0 252329396 0 144837157
2.8e-09 21.1562 2.53125 9.03125 0 0 0 386056375
2.8e-09 19.375 3 9.04688 0 960110 0 430257480
2.8e-09 20.6562 2.54688 9.0625 0 0 0 491581243
2.8e-09 23.0156 2.82812 9.03125 0 344942 0 450097215
2.8e-09 infty 2.82812 9.03125 208 221540001 199 592437
2.8e-09 24.6562 3.01562 9.04688 1 429183280 2 209569
2.8e-09 21.1094 3.07812 8.95312 0 6956 0 499548795
2.8e-09 21.9375 2.46875 8.98438 0 440788015 0 276553
2.8e-09 infty 2.4375 8.9375 176 0 161 131819393
2.8e-09 25.8281 2.21875 9.04688 12 321730128 8 145301591
2.8e-09 infty 2.23438 9.0625 182 0 178 0
2.8e-09 22.125 2.78125 8.96875 0 0 0 442898653
2.8e-09 infty 2.9375 8.96875 157 2355983 174 0
2.8e-09 infty 2.04688 9.03125 202 0 212 0
2.8e-09 22.3906 2.40625 8.92188 1 413059358 0 13661920
2.8e-09 22.0625 2.48438 9 0 0 0 492345096
2.8e-09 24.6875 2.4375 8.95312 1 4372386 2 407608166
2.8e-09 26.2188 3.01562 9.04688 5 410982271 12 170785
2.8e-09 20.4531 2.9375 8.98438 0 14889 0 391880147
2.8e-09 20.9531 2.875 9.0625 0 117672577 0 283860579
2.8e-09 infty 2.34375 9.01562 203 0 218 0
2.8e-09 26.0625 2.26562 8.9375 7 505864517 8 3658
2.8e-09 infty 2.84375 9.04688 194 0 201 886800
2.8e-09 infty 2.98438 9.01562 203 188115922 196 19909
2.8e-09 27.5938 2.45312 8.95312 39 458174480 44 0
2.8e-09 infty 2.45312 8.96875 172 0 196 0
2.8e-09 26.6094 2.96875 9 22 481090942 25 0
2.8e-09 20.9531 2.4375 8.95312 0 319531 0 484691362
2.8e-09 infty 2.45312 8.95312 163 0 166 73070529
2.8e-09 infty 2.40625 9.42188 189 66839758 184 1148
2.8e-09 20.1406 2.375 9.04688 0 263133 0 494050605
2.8e-09 infty 2.4375 8.95312 168 0 177 18791386
2.8e-09 27.1562 2.96875 9 32 0 28 474889714
2.8e-09 infty 2.35938 9.03125 178 2475928 188 440
2.8e-09 26.2031 2.76562 8.95312 6 399119104 8 3254146
2.8e-09 21.9062 2.96875 9 0 0 0 502121317
2.8e-09 23.2344 2.35938 9.03125 1 0 1 403054811
