6.9e-10 infty 2.51562 9.125 1061 0 1032 0
6.9e-10 24.75 2.42188 9.1875 63 455600753 76 0
6.9e-10 24.3281 2.46875 9.23438 50 484819155 54 0
6.9e-10 20.75 2.73438 9.1875 0 416452479 3 0
6.9e-10 22.2188 2.46875 9.23438 10 415716776 5 0
6.9e-10 infty 3 9.15625 1017 0 959 0
6.9e-10 24.9844 2.75 9.20312 95 418916753 95 0
6.9e-10 infty 2.39062 9.17188 948 0 977 0
6.9e-10 infty 3.03125 9.1875 966 0 961 0
6.9e-10 infty 2.5625 9.17188 941 0 973 0
6.9e-10 22.125 2.34375 9.10938 8 485951322 7 0
6.9e-10 infty 3.25 9.23438 856 0 832 0
6.9e-10 infty 2.4375 9.20312 943 0 864 0
6.9e-10 24.2344 2.76562 9.21875 45 424043836 35 0
6.9e-10 22.1719 2.5 9.10938 3 0 7 451951749
6.9e-10 infty 2.90625 9.21875 876 0 888 0
6.9e-10 infty 2.90625 9.20312 898 0 913 0
6.9e-10 22.875 2.92188 9.23438 8 313101851 8 163194079
6.9e-10 infty 2.34375 9.10938 873 0 813 0
6.9e-10 infty 2.4375 9.20312 955 0 893 0
6.9e-10 infty 2.45312 9.21875 840 0 886 0
6.9e-10 23.8281 3.01562 9.17188 39 0 33 454882082
6.9e-10 infty 2.73438 9.1875 948 0 871 0
6.9e-10 infty 2.48438 9.10938 825 0 880 0
6.9e-10 infty 2.4375 9.20312 893 0 921 0
6.9e-10 21.3125 2.53125 9.14062 4 104544516 2 438282908
6.9e-10 22.7188 2.78125 9.23438 10 459522653 4 0
6.9e-10 infty 2.32812 9.10938 845 0 804 0
6.9e-10 infty 2.5 9.10938 783 0 823 0
6.9e-10 22.5938 2.34375 9.10938 10 403401029 4 9620539
6.9e-10 23.7656 2.35938 9.125 36 0 34 495427615
6.9e-10 22.0312 2.32812 9.09375 5 38771960 3 382538661
6.9e-10 infty 3.03125 9.17188 1016 0 978 0
6.9e-10 infty 2.42188 9.1875 948 0 993 0
6.9e-10 infty 3.07812 9.23438 826 0 857 0
6.9e-10 22.8594 2.9375 9.23438 7 486476270 21 4552464
6.9e-10 infty 2.8125 9.10938 840 0 825 0
