4 6 326552591 118361277 
16 12 373419835 137493904 
0 1 394634933 6397666 
0 3 499986763 0 
62 52 0 511589546 
20 26 0 470128727 
20 21 394240333 0 
14 19 0 390333491 
20 26 423242110 0 
2 0 0 482352382 
6 4 312794784 149496089 
14 12 406502404 0 
4 5 464430367 0 
1 2 399891664 0 
33 27 483004522 0 
35 30 0 472839674 
45 42 507975494 0 
3 1 0 391340528 
6 1 388672287 0 
18 14 0 478873221 
19 27 400009261 0 
3 3 0 429653378 
1 5 320451367 89917005 
94 114 448084316 0 
1 1 440258636 0 
6 5 0 486656051 
1 2 483938694 0 
3 5 78612569 363239153 
5 9 506881649 0 
4 6 388575651 0 
8 8 0 440358872 
7 3 267199497 243875652 
4 4 0 411603928 
27 23 0 511561838 
3 2 418390070 0 
38 25 419877259 0 
145 117 396740110 0 
2 4 55760029 352416621 
1 1 99714956 399042917 
166 167 446132199 0 
4 1 0 418713269 
6 5 0 431870347 
3 6 399793835 0 
10 9 420685736 0 
6 8 422899142 0 
21 30 108406139 322538227 
32 30 0 429254373 
5 2 0 465931171 
2 0 83057334 320368562 
7 8 431963988 0 
2 0 476414799 0 
6 9 317081385 87899434 
9 5 200969630 219345315 
3 4 467828387 0 
40 27 389214433 0 
19 27 0 467546554 
5 1 371887015 85557027 
0 1 20939963 427127474 
10 17 443425387 0 
7 3 509449261 0 
0 2 432099249 65786417 
0 3 183665422 211392867 
45 47 0 431889635 
4 3 0 485431564 
1029 1013 0 465811640 
28 15 494458396 0 
3 1 456668274 0 
0 3 126976898 280275173 
2 2 488802535 0 
8 5 0 437279953 
12 11 417151299 0 
12 6 0 448902344 
8 3 459454925 0 
1 5 422062617 80238442 
16 12 409041212 0 
10 13 393600457 0 
4 3 332343148 66213671 
4 4 0 437588143 
1 3 0 430124015 
13 18 0 416578333 
3 7 464507674 0 
115 92 461434137 0 
4 2 450505670 0 
6 9 456635825 0 
2 2 406723358 39711143 
1 3 498021291 0 
1 3 3773627 431276657 
10 16 0 450735916 
6 8 439770962 0 
748 697 0 456705755 
397 422 0 388693791 
19 22 0 511854508 
5 1 279193782 131400669 
6 8 435768866 0 
3 1 275776697 172465009 
2 5 3977180 458127348 
1 0 125992562 334171608 
3 5 489074192 0 
13 9 0 500298251 
4 1 42319009 436847220 
24 41 0 507627023 
10 12 386522807 67122336 
6 2 172523800 233090718 
46 38 494120505 0 
4 10 506399841 0 
3 3 456328346 0 
0 0 2578181 424208530 
7 4 473046512 0 
90 108 434197955 0 
9 9 405913799 0 
15 6 0 502990587 
13 11 305822475 94497383 
710 779 434888514 0 
30 28 0 418543388 
7 8 450645028 0 
8 6 208932655 208993632 
4 4 0 406188986 
4 2 426905808 0 
12 9 385680749 0 
34 31 0 493617410 
4 8 404274505 0 
4 8 9535521 419551546 
0 4 57199377 361319158 
7 5 0 463993855 
2 2 460002499 20181630 
6 7 0 493025770 
2 1 471577441 0 
1 0 386511756 73519755 
10 11 481611659 0 
17 20 0 433640460 
5 9 0 507860047 
7 3 0 424745502 
0 0 145486053 356053822 
0 2 140735179 309098406 
3 3 0 446935780 
2 4 0 431653921 
1 2 402034496 0 
14 14 0 396863505 
5 13 0 392196290 
3 2 468728601 0 
78 65 0 414953701 
0 0 434883870 0 
2 1 0 394894768 
1 1 75140594 390627615 
120 120 0 402587129 
2 1 399214134 0 
2 1 413559809 0 
2 3 30415820 379590144 
98 99 0 472115118 
5 6 341999453 97541155 
5 5 397000431 0 
7 3 454700697 0 
0 2 408494828 0 
62 74 438856057 0 
18 22 0 454281882 
9 10 0 449853665 
4 2 172035888 266147282 
4 10 480400030 0 
10 14 0 413147962 
1 1 408714741 0 
66 73 442232381 0 
12 19 0 441114812 
19 14 0 446564860 
0 0 437073927 0 
5 4 0 428774189 
8 10 181147447 232330321 
7 4 401644457 0 
125 114 0 390795198 
6 4 88260022 328537443 
1 0 358482226 92525947 
12 9 493054775 0 
15 13 481909774 0 
25 29 0 446008890 
2 3 343853030 90713006 
45 44 0 482870207 
54 50 450224052 0 
38 53 0 471238597 
856 842 0 447128641 
3 3 0 490399864 
1 0 487542698 0 
8 2 428967029 20174639 
4 3 236249270 271017075 
9 8 426084533 0 
4 3 388829916 0 
1 5 373440031 29005101 
6 11 0 489435805 
0 1 15742801 376413813 
4 10 0 440171831 
57 52 441590142 0 
5 3 461747924 0 
3 1 361580978 56679983 
12 12 444852391 0 
8 8 496069796 0 
4 5 393348539 0 
4 8 0 481381748 
24 28 0 406958979 
13 13 49581790 417102920 
10 14 0 488171411 
9 10 392488124 79992111 
6 1 0 402012815 
5 2 406278976 0 
2 1 0 487946068 
4 0 452600393 0 
6 8 390461122 67288877 
1 1 253221664 161585103 
1 1 454737883 0 
32 30 481156371 0 
99 108 0 406234097 
3 2 270836539 123245426 
4 4 0 394542826 
17 16 432961059 0 
32 20 439190347 0 
6 8 387634338 0 
5 5 136570936 352991476 
423 405 506317539 0 
3 5 0 426800240 
3 9 84556960 400810576 
4 2 101441451 401202038 
22 17 407409716 0 
5 5 9580833 376425318 
6 9 0 394866701 
50 63 0 420353979 
1 1 481374840 0 
2 3 0 415498322 
3 3 485599355 0 
30 22 465775695 0 
8 14 378172907 59711112 
26 37 0 414872728 
3 3 330585258 79193414 
13 12 507281938 0 
15 13 0 488530859 
453 473 489467838 0 
6 11 0 395718729 
2 1 24884150 388970433 
44 36 467501683 0 
4 5 0 408506082 
1 2 0 396213385 
1 0 478195189 18910949 
6 9 396255880 0 
0 2 99429225 295256233 
15 17 0 396349610 
7 4 0 487094358 
8 1 412849810 0 
5 5 0 468308194 
5 11 29509594 358100126 
1 1 421793131 88459695 
5 3 413068750 0 
4 6 148274556 260878024 
7 11 0 407912227 
21 18 0 400650932 
11 16 458920354 0 
31 32 0 489735964 
9 6 0 501566249 
27 32 0 456419624 
33 23 401193219 0 
2 0 130705756 290376076 
2 2 417570420 17457051 
857 884 509225643 0 
11 9 493512054 0 
15 11 400373595 0 
2 3 353679391 138627359 
4 1 5129302 400025095 
22 25 0 500551425 
24 17 0 421501068 
9 24 0 473426181 
2 0 475883795 0 
6 5 401517079 0 
9 11 466110236 0 
59 64 0 450846209 
3 6 451859400 0 
5 6 171136327 257626662 
7 8 0 419690897 
69 64 0 492301790 
0 0 442536808 0 
8 6 0 461414100 
1 5 416475521 0 
26 36 504490979 0 
2 1 248575580 218087166 
13 16 0 477052255 
6 7 373133819 135348705 
2 3 408344960 0 
3 2 64637764 364040120 
4 3 383938494 45132243 
174 183 0 391797256 
7 7 0 483926821 
0 3 0 480778156 
104 103 480976782 0 
160 152 207574208 203129622 
3 3 218152761 172455501 
30 22 0 504346882 
2 0 385862594 0 
2 5 0 463308366 
51 43 0 483657149 
37 59 0 423258775 
