7051 6949 0 0 0 334874454 
1851 1880 0 0 340526894 180108285 
677 647 0 0 98595442 304162825 
1067 1042 0 0 5764482 521563681 
4198 4061 0 0 436379698 0 
566 561 0 0 0 487254312 
602 559 0 0 30659937 432513762 
1717 1727 0 0 0 491809302 
1239 1219 0 0 390527791 77824560 
2863 2888 0 0 0 436570323 
223 250 0 0 79325185 410235621 
7490 7429 0 0 484112063 0 
709 687 0 0 174719178 256242881 
2177 2212 0 0 398235369 100009008 
3951 3889 0 0 418378091 0 
2710 2602 0 0 26129638 373083248 
1542 1645 0 0 523958208 0 
807 830 0 0 95300647 306630884 
5957 6027 0 0 369427245 126198866 
6909 6839 0 0 0 258699500 
1372 1499 0 0 0 479268865 
2039 2019 0 0 47051519 363075388 
7038 7108 0 0 374086413 0 
7401 7510 0 0 208919242 243696975 
731 727 0 0 383604573 106896886 
643 663 0 0 0 406269193 
3959 4046 0 0 347835232 177311866 
2388 2301 0 0 231202433 219700026 
1215 1234 0 0 73193206 361614474 
1649 1701 0 0 425995404 0 
303 328 0 0 31485614 378878540 
2182 2083 0 0 324003106 186505073 
1442 1525 0 0 503259059 0 
6927 6903 0 0 392824192 0 
383 373 0 0 1505287 415276777 
5714 5854 0 0 386733363 0 
996 1055 0 0 110675983 400162138 
1630 1535 0 0 474695371 0 
982 950 0 0 428237544 0 
433 420 0 0 462016489 356478 
1668 1775 0 0 424621322 0 
2413 2448 0 0 467732453 0 
6148 6266 0 0 0 500732563 
1403 1369 0 0 20252376 447772431 
686 719 0 0 177753146 324308215 
394 409 0 0 29387850 384730176 
6026 5960 0 0 369957585 20028084 
5886 5775 0 0 194268389 305612923 
1233 1218 0 0 291583296 218478666 
1102 1172 0 0 310207451 119205006 
4758 4620 0 0 291804027 213181101 
2272 2310 0 0 0 420464864 
1150 1151 0 0 263003421 196473907 
1013 1033 0 0 283570494 220179809 
3904 4025 0 0 42122216 439615597 
499 537 0 0 226322058 253871165 
719 684 0 0 443079050 0 
764 750 0 0 314003216 143898703 
676 662 0 0 340614419 74211818 
1305 1298 0 0 106194405 368706792 
1326 1167 0 0 91689274 310918388 
2229 2276 0 0 363677931 146053799 
1302 1335 0 0 0 429925654 
1002 1086 0 0 180426918 317421850 
997 957 0 0 275680853 140170931 
3689 3526 0 0 0 496002507 
1511 1492 0 0 409323486 41909558 
1249 1232 0 0 219763492 292135015 
1971 1858 0 0 360219482 124485212 
1592 1566 0 0 185018595 253330102 
3680 3868 0 0 279241118 213157014 
3348 3261 0 0 0 461615164 
2978 3000 0 0 418570839 0 
2516 2474 0 0 0 527051479 
1948 1941 0 0 0 464878449 
921 868 0 0 2341927 450484661 
1758 1729 0 0 382992195 35128361 
1367 1279 0 0 284424439 223867421 
1876 1880 0 0 79367529 384560754 
5794 5824 0 0 0 341444283 
3226 3165 0 0 421819430 0 
1911 1943 0 0 0 494122751 
359 318 0 0 140179393 331473174 
981 973 0 0 355588663 128640986 
1747 1714 0 0 428584733 30701566 
1447 1425 0 0 0 418357704 
1752 1775 0 0 256478803 148700364 
2222 2202 0 0 0 436845458 
1990 2009 0 0 316815895 112231699 
1269 1308 0 0 436422748 0 
1114 1114 0 0 295813835 206251508 
6050 6046 0 0 0 279559717 
1688 1730 0 0 88112543 406853714 
1575 1663 0 0 105117024 399437387 
499 524 0 0 407100381 0 
2036 1999 0 0 138844410 318644108 
1243 1322 0 0 235878970 255154641 
1329 1333 0 0 0 431117827 
1423 1472 0 0 333076137 100536896 
747 732 0 0 316775264 173556112 
4380 4390 0 0 0 510196403 
2130 2078 0 0 346791799 53828577 
6900 6980 0 0 366785490 0 
5806 5976 0 0 295613406 127125420 
859 936 0 0 0 404170964 
3644 3663 0 0 339241821 135824356 
2327 2259 0 0 519728373 0 
1479 1531 0 0 0 489529431 
1246 1258 0 0 0 526208161 
7257 7191 0 0 0 413381107 
1853 1734 0 0 388217519 135142874 
567 573 0 0 391780968 35784051 
5283 5227 0 0 0 456411661 
5758 5778 0 0 487176263 40270784 
1211 1181 0 0 363652002 44542719 
5610 5599 0 0 0 479948994 
3138 2958 0 0 479231172 0 
1439 1481 0 0 202326720 223217630 
3361 3249 0 0 466644435 0 
941 935 0 0 290211111 223567074 
2949 3092 0 0 499081098 0 
6160 5988 1 0 416315324 0 
562 487 0 0 0 451309401 
406 424 0 0 32048053 373259132 
788 758 0 0 316057104 109573378 
7569 7507 0 0 0 294187629 
816 864 0 0 33942110 417449060 
3369 3423 0 0 432486083 55208604 
1691 1667 0 0 517383523 0 
1804 1768 0 0 0 464119464 
642 667 0 0 306012331 118473735 
1995 2017 0 0 255172746 190136405 
5508 5380 0 0 427117465 0 
2312 2335 0 0 0 422408376 
3873 3859 0 0 491785817 0 
2602 2581 0 0 514916493 295054 
508 509 0 0 0 412316072 
1959 1873 0 0 311935020 96729239 
5927 5967 0 0 389068858 0 
1491 1452 0 0 0 413917840 
2443 2376 0 0 435347515 76410317 
1183 1153 0 0 127296367 277605019 
838 813 0 0 408184249 0 
2361 2340 0 0 345363067 61101377 
7460 7386 0 0 278301000 0 
1558 1583 0 0 82221047 362005387 
2847 2748 0 0 14874275 479497728 
3880 4019 0 0 185064866 332144767 
1849 1825 0 0 0 410197916 
1681 1690 0 0 271907828 223299072 
2877 2802 0 0 290071863 226828698 
6650 6527 0 0 272690191 0 
3686 3668 0 0 0 493298245 
2722 2647 0 0 427107518 564993 
1922 1870 0 0 486521880 11595244 
781 769 0 0 109316860 304135417 
7154 7222 0 0 0 503769344 
412 403 0 0 36513706 415164864 
1056 1088 0 0 0 410894277 
5209 5213 0 0 427625112 0 
3524 3673 0 0 0 500358453 
7123 6985 0 0 287922897 0 
1176 1208 0 0 516998017 0 
2420 2451 0 0 0 488568124 
178 175 0 0 5355060 464828125 
7114 6939 0 0 0 463780097 
2502 2539 3 0 113853037 298769738 
3399 3375 0 0 81388376 364080660 
2941 3051 0 0 379495024 64091973 
623 653 0 0 3698498 445946092 
2680 2677 0 0 459468199 0 
2715 2629 0 0 508080971 0 
1148 1127 0 0 44392464 423709721 
1238 1281 0 0 0 469341663 
838 806 0 0 13729472 465998733 
2794 2812 0 0 94406637 381431142 
1136 1152 0 0 353930725 145130538 
3862 3713 0 0 0 487874817 
6879 6834 0 0 21868253 421369878 
3230 3193 0 0 0 517725654 
2695 2569 0 0 0 521619406 
295 281 0 0 488580788 34862556 
2410 2473 0 0 0 433195061 
6770 6706 0 0 353933102 0 
3956 4008 0 0 507290753 0 
1244 1212 0 0 0 477068217 
1863 1841 0 0 182256325 218601864 
7785 7675 0 0 269897065 114010195 
4505 4565 0 0 465001476 0 
3055 3096 0 0 444917613 62864175 
1038 1072 0 0 102855486 388706477 
1852 1907 0 0 0 410436177 
5793 5874 0 0 0 333235279 
763 749 0 0 243713815 271891473 
3935 4055 0 0 384718955 55327006 
1402 1447 0 0 520761870 5740710 
1795 1811 0 0 246319738 278322567 
4522 4363 0 0 464219633 59088552 
565 597 0 0 100989167 297030010 
1820 1838 0 0 380890725 60067911 
321 286 0 0 404316579 72888191 
6551 6590 0 0 0 452696902 
1347 1382 0 0 520869187 0 
