3.2e-09 1.82812 2.40625 0 208800917 1 6 208670591 1 12
3.2e-09 1.84375 2.40625 0 204570431 5 2 204525162 0 3
3.2e-09 1.89062 2.45312 0 191329655 1 4 191131480 1 8
3.2e-09 1.8125 2.375 0 218087239 3 5 218020109 1 4
3.2e-09 1.67188 2.23438 0 210490960 0 19 210423568 1 26
3.2e-09 1.76562 2.32812 0 237508529 0 0 237576943 2 2
3.2e-09 2.07812 2.46875 0 242395322 0 0 242563303 0 0
3.2e-09 2.28125 2.84375 0 224125264 1 0 224054832 1 0
3.2e-09 2.26562 2.82812 0 231141166 0 5 231309778 3 0
3.2e-09 1.8125 2.375 0 217401029 2 0 217522538 0 2
3.2e-09 2.20312 2.76562 0 193724164 4 4 193767439 0 44
3.2e-09 2.64062 3.04688 0 206103668 0 0 206070598 0 0
3.2e-09 2.65625 3.0625 0 199718084 0 0 199929420 3 0
3.2e-09 1.64062 2.04688 0 222314458 2 0 222369639 2 1
3.2e-09 1.6875 2.25 0 206746809 0 4 206648026 0 3
3.2e-09 1.82812 2.39062 0 213727416 2 0 213605510 0 0
3.2e-09 1.60938 2.01562 0 233244024 2 28 233213146 1 2
3.2e-09 2.625 3.01562 0 216634560 0 2 216693020 1 0
3.2e-09 1.89062 2.45312 0 191578521 0 0 191558494 2 1
3.2e-09 1.67188 2.23438 0 211728657 1 2 211684630 2 7
3.2e-09 1.64062 2.03125 0 224050453 1 4 224134409 2 11
3.2e-09 2.17188 2.73438 0 204412358 1 1 204241611 0 0
3.2e-09 2.10938 2.51562 0 226707048 0 1 226637094 1 0
3.2e-09 2.39062 2.95312 0 247142113 1 2 247072959 1 0
3.2e-09 1.70312 2.26562 0 199066823 0 4 199088109 0 0
3.2e-09 1.875 2.4375 0 196675984 0 6 196845633 2 0
3.2e-09 1.84375 2.40625 0 203643258 0 2 203617964 2 6
3.2e-09 1.875 2.4375 0 195208977 0 0 195351358 1 3
3.2e-09 1.84375 2.40625 0 206862789 2 4 206993608 2 0
3.2e-09 1.64062 2.04688 0 223010094 3 7 223135766 1 3
3.2e-09 1.6875 2.25 0 201634739 1 0 201570720 1 1
3.2e-09 1.625 2.03125 0 227906532 0 0 227868409 0 5
3.2e-09 1.78125 2.34375 0 228779729 2 1 228689018 2 0
3.2e-09 1.84375 2.40625 0 204933618 2 0 205021570 1 0
3.2e-09 1.78125 2.34375 0 230277838 0 10 230335899 1 26
3.2e-09 1.70312 2.26562 0 197471363 0 6 197447886 1 0
3.2e-09 1.64062 2.04688 0 223269885 1 8 223241303 0 0
3.2e-09 1.73438 2.29688 0 190147605 1 0 190335270 0 11
3.2e-09 1.70312 2.26562 0 199252331 0 8 199266706 0 5
3.2e-09 1.60938 2 0 237134747 2 8 237121228 2 6
3.2e-09 1.89062 2.45312 0 188560466 1 8 188635152 0 19
3.2e-09 1.70312 2.26562 0 198177517 3 13 198240839 0 0
3.2e-09 2.15625 2.5625 0 207971392 0 0 207873536 1 3
3.2e-09 2.29688 2.85938 0 214201702 1 7 214090100 0 2
3.2e-09 2.15625 2.5625 0 210467203 1 0 210300670 1 1
3.2e-09 1.79688 2.35938 0 222511508 1 0 222440762 2 10
3.2e-09 1.65625 2.21875 0 215778086 1 0 215764490 0 1
3.2e-09 1.625 2.03125 0 225412396 1 4 225390539 0 0
3.2e-09 2.3125 2.875 0 210946215 1 1 210791874 0 0
3.2e-09 2.67188 3.07812 0 193811636 1 0 193944933 1 1
3.2e-09 2.15625 2.54688 0 211451921 1 19 211667233 0 0
3.2e-09 1.65625 2.21875 0 217496558 4 17 217212803 0 7
3.2e-09 1.60938 2.01562 0 232586575 2 2 232482381 1 0
3.2e-09 2.57812 2.98438 0 233096394 0 0 233294973 0 6
3.2e-09 2.23438 2.79688 0 243632107 1 8 243502823 3 0
3.2e-09 2.57812 2.98438 0 230311750 0 0 230281276 0 0
3.2e-09 1.85938 2.42188 0 200636363 1 10 200490807 0 0
3.2e-09 1.65625 2.21875 0 214728901 1 5 214734108 1 8
3.2e-09 1.875 2.4375 0 194260882 0 1 193992412 0 0
3.2e-09 2.21875 2.78125 0 188556952 1 0 188453165 0 3
3.2e-09 1.71875 2.28125 0 194103474 0 0 194245282 0 4
3.2e-09 1.84375 2.40625 0 207346107 5 2 207206765 2 17
3.2e-09 2.64062 3.04688 0 209380736 0 0 209268848 0 0
3.2e-09 1.89062 2.45312 0 251067464 5 7 251234264 2 2
3.2e-09 1.64062 2.04688 0 219244967 2 4 219260126 1 0
3.2e-09 2.26562 2.82812 0 230229338 2 1 230229257 2 0
3.2e-09 2.14062 2.54688 0 213444099 0 0 213376917 0 2
3.2e-09 2.32812 2.89062 0 206881523 1 12 207068712 3 6
3.2e-09 2.625 3.03125 0 214271239 0 0 214147272 0 0
3.2e-09 2.375 2.9375 0 247984238 0 0 248227712 2 17
3.2e-09 1.75 2.3125 0 243614702 4 7 243780336 1 0
3.2e-09 1.65625 2.04688 0 219000923 0 0 218946529 0 0
