6.2e-09 1.3125 1.85938 0 209454752 5 16 209356610 20 3
6.2e-09 1.15625 1.70312 0 207103905 7 7 207174297 9 0
6.2e-09 1.35938 1.92188 0 251648882 29 1 251609286 19 1
6.2e-09 1.23438 1.79688 0 237158078 3 0 237076200 4 0
6.2e-09 1.09375 1.48438 0 232268413 1 0 232289886 14 0
6.2e-09 1.32812 1.875 0 201907945 10 11 201890035 3 0
6.2e-09 1.89062 2.4375 0 224936947 2 0 224696049 5 0
6.2e-09 1.79688 2.34375 0 200829156 8 1 201002543 0 0
6.2e-09 1.84375 2.39062 0 250160130 2 0 250010551 7 21
6.2e-09 1.625 2.01562 0 207695338 2 0 207952262 6 0
6.2e-09 1.26562 1.8125 0 229244689 28 3 229281184 9 1
6.2e-09 1.1875 1.73438 0 197176030 2 0 197117515 22 6
6.2e-09 1.32812 1.875 0 203484395 10 6 203668948 4 0
6.2e-09 1.10938 1.51562 0 224345711 3 0 224276381 10 2
6.2e-09 1.17188 1.71875 0 203534505 6 6 203612452 5 0
6.2e-09 1.89062 2.4375 0 228579622 17 0 228529850 6 0
6.2e-09 1.78125 2.32812 0 211213291 3 0 211179452 1 0
6.2e-09 1.17188 1.71875 0 203756892 7 0 203733738 13 0
6.2e-09 1.17188 1.71875 0 201051677 0 0 201039359 19 4
6.2e-09 1.09375 1.48438 0 230774888 23 2 230961094 8 0
6.2e-09 1.65625 2.04688 0 195317705 6 2 195200074 1 0
6.2e-09 1.28125 1.82812 0 218077792 23 0 218128756 13 0
6.2e-09 1.70312 2.25 0 239290153 26 3 239326005 9 0
6.2e-09 1.57812 1.96875 0 226648267 16 2 226768896 4 0
6.2e-09 1.10938 1.5 0 225609142 3 3 225699178 0 0
6.2e-09 1.59375 1.98438 0 222113159 3 0 222184952 11 1
6.2e-09 1.73438 2.28125 0 226443122 11 7 226424636 11 0
6.2e-09 1.70312 2.25 0 243558022 7 6 243500507 9 1
6.2e-09 1.09375 1.5 0 230821066 13 12 230827208 7 7
6.2e-09 1.09375 1.48438 0 232785487 18 28 232892603 2 0
6.2e-09 1.3125 1.85938 0 207943180 4 0 207832454 4 0
6.2e-09 1.10938 1.5 0 229573548 3 0 229483416 20 0
6.2e-09 1.21875 1.76562 0 249447894 4 0 249346656 1 0
6.2e-09 1.54688 1.9375 0 241489514 21 0 241379661 8 0
6.2e-09 1.5625 1.95312 0 232647613 20 3 232850193 2 0
6.2e-09 1.1875 1.73438 0 197614475 7 0 197634999 13 3
6.2e-09 1.79688 2.34375 0 201996580 15 6 202079998 17 1
6.2e-09 1.29688 1.84375 0 216331558 80 9 216283603 13 3
6.2e-09 1.09375 1.48438 0 231428729 16 4 231476939 1 0
6.2e-09 1.59375 1.98438 0 221534249 5 1 221602323 1 0
6.2e-09 2.09375 2.48438 0 208596764 23 0 208592607 8 2
6.2e-09 1.32812 1.875 0 200250165 15 3 200042145 9 0
6.2e-09 1.60938 2 0 212524790 0 0 212519902 5 0
6.2e-09 1.875 2.42188 0 231236710 4 0 231163890 3 0
6.2e-09 2.07812 2.46875 0 212539117 56 7 212558637 15 0
6.2e-09 1.26562 1.8125 0 229414910 5 2 229484285 2 0
6.2e-09 1.26562 1.8125 0 225189890 8 1 225347985 7 0
6.2e-09 1.64062 2.03125 0 201677910 2 0 201631093 6 0
6.2e-09 1.64062 2.04688 0 199942855 4 0 199897178 4 1
6.2e-09 1.125 1.51562 0 221406990 14 6 221467987 17 4
6.2e-09 1.89062 2.4375 0 227022005 13 1 227170165 10 0
6.2e-09 1.84375 2.39062 0 248635724 6 0 248508238 13 1
6.2e-09 1.32812 1.89062 0 199701729 1 0 199763083 5 1
6.2e-09 1.17188 1.71875 0 200729699 0 0 200693651 20 0
6.2e-09 1.375 1.92188 0 246472752 51 4 246369931 6 0
6.2e-09 1.125 1.53125 0 217388753 4 0 217276973 7 0
6.2e-09 1.57812 1.96875 0 225651932 1 0 225774347 1 0
6.2e-09 1.75 2.29688 0 222591812 2 0 222356168 6 0
6.2e-09 1.1875 1.73438 0 259849826 10 3 259924936 1 0
6.2e-09 1.14062 1.53125 0 214131705 7 2 214032044 9 0
6.2e-09 1.09375 1.48438 0 231091432 3 0 231167820 13 0
6.2e-09 1.60938 2 0 213651727 16 0 213845585 10 0
