6.2e-09 19.0781 2 8.1875 22 693 238250819 31 78 98327479
6.2e-09 18.0156 2.78125 8.14062 4 59 292646666 4 27 1393283
6.2e-09 18.75 1.90625 8.1875 12 391 335273164 18 124 2550734
6.2e-09 20.8906 2.45312 8.03125 204 3345 325853966 179 0 0
6.2e-09 21.8281 1.8125 8.125 794 6290 350910767 807 4199 1981499
6.2e-09 infty 2.25 8.1875 3587 0 0 3760 0 0
6.2e-09 19.0156 2.375 8.1875 8 0 0 20 240 279842168
6.2e-09 22.7031 2.25 8.1875 1478 3948 112996557 1467 6595 205768679
6.2e-09 22.125 2.5625 8.1875 660 4557 259429556 684 2197 17443514
6.2e-09 19.0312 2.54688 8.1875 23 84 451671 18 13 363306789
6.2e-09 infty 2.75 8.1875 3540 18555 159463131 3438 0 0
6.2e-09 18.0312 2.01562 8.1875 7 277 183885816 7 82 103213746
6.2e-09 20.0625 2.73438 8.1875 61 291 101748339 67 1472 227393177
6.2e-09 19.5 1.90625 8.1875 32 1305 283405005 31 27 1309
6.2e-09 20.8438 1.85938 8.1875 245 129 319420259 227 3850 37088048
6.2e-09 19.875 1.875 8.1875 69 69 22997956 70 404 325670671
6.2e-09 19.1875 1.90625 8.1875 25 431 10568004 26 380 354871673
6.2e-09 18.0625 1.98438 8.1875 6 9 9283718 5 127 348837413
6.2e-09 20.2812 2.25 8.1875 96 1612 87031433 89 1094 216848072
6.2e-09 22.2656 2.85938 8.1875 911 4472 233316499 887 4639 56416899
6.2e-09 22.7188 2.01562 8.1875 1761 13468 114720529 1718 4247 187685239
6.2e-09 23.0156 1.92188 8.1875 1977 787 14472 2027 2383 325461680
6.2e-09 19.0938 1.82812 8.1875 27 426 158404566 25 345 169736958
6.2e-09 20.0781 1.92188 8.1875 65 162 394663 67 1347 325598623
6.2e-09 19.9375 1.89062 8.1875 53 511 889505 52 1225 312877564
6.2e-09 21.5938 2.84375 8.1875 394 4843 8659327 389 2265 286335144
