6 5 260 121 5880081 310604586 
341 355 0 20387 0 300312447 
7 11 0 118 0 317136208 
58 68 3009 429 314869616 736706 
47 39 0 1696 0 362514712 
65 63 586 202 41979399 308490886 
31 28 2249 462 201575090 94003616 
384 365 4242 2533 288889393 7007683 
21 20 1403 134 131298812 226597790 
173 192 2550 5152 71691946 235242885 
4 5 67 282 299193 340704669 
221 231 545 8923 86457 347190584 
67 79 336 2182 271981744 55368162 
42 34 315 1094 1965825 307358459 
1 1 61 17 295653009 5479591 
30 32 1448 164 156606175 158286772 
30 21 224 333 312487844 2701273 
74 59 1489 1438 13700445 293283731 
54 65 0 665 320763175 13382483 
22 14 247 94 303731286 452560 
18 27 41 197 27260 294153330 
17 16 118 113 303398404 1670989 
40 53 209 2230 3376212 328955557 
9 10 677 164 314503284 23824336 
9 9 594 379 46463363 318719062 
110 106 2982 1669 184761013 120951527 
67 58 383 2826 120894255 178732706 
11 14 21 162 306731047 12535124 
280 300 702 1485 2498808 273509814 
36 31 21 1222 5843591 313669740 
2 7 125 148 1825946 287390192 
8 4 667 428 298384098 41897386 
10 12 333 409 22494278 284096999 
11 11 358 0 325700971 0 
9 9 130 157 221036860 133745819 
28 25 0 544 0 307777933 
141 140 434 4166 303224 304926897 
11 10 475 615 85755433 197496930 
31 16 0 249 0 353534379 
87 93 1217 4078 136297924 231798352 
1 4 46 334 302679587 29883958 
0 1 82 191 187791950 115422231 
100 94 769 253 297137329 1007380 
56 56 0 3666 0 310116051 
140 127 188 0 349191240 0 
24 14 300 0 312408344 0 
35 29 635 2165 18853679 294818492 
117 176 11818 0 318880072 0 
426 491 3742 0 361337453 0 
21 17 382 1102 14142120 284098920 
20 27 603 2311 9531740 302130153 
100 105 3609 3272 266764576 28430628 
40 43 1048 195 6418997 288726970 
1288 1319 0 19244 0 278316495 
152 170 4941 13078 142104752 164900979 
2 11 131 294 293954861 1184369 
239 270 0 5403 103668856 210994692 
13 13 816 295 344832678 4556463 
49 40 0 4974 0 352240291 
3 0 53 92 336685253 715201 
4 1 207 42 249929118 34252238 
79 63 2824 613 354090753 1544901 
389 389 2794 14708 28398236 271240060 
203 206 8544 2632 219093814 63153671 
177 151 0 6542 62102983 230203583 
39 26 27 459 6297087 292112562 
1 1 0 582 208772 303574375 
111 113 1226 4918 6385905 338394142 
2 4 15 139 2611470 316901714 
94 98 1595 2256 185487980 173010312 
7 5 257 0 345588418 0 
40 37 130 0 314678169 0 
12 10 1106 0 317303338 0 
26 28 655 67 279378659 57295 
7 9 406 193 152075027 148323336 
4 6 114 149 355888823 9967146 
7 7 8 737 5314115 287523497 
3 5 103 285 145389228 214286095 
293 281 0 1994 265536274 55991546 
16 32 50 181 295438596 23462016 
74 91 1559 1439 200486044 79029535 
2 4 460 106 290591687 34168974 
1911 1979 1949 48547 168927150 159884536 
84 98 6516 1946 338790818 22202592 
223 205 0 2904 0 298672482 
182 212 4812 1546 294114109 7257674 
13 12 354 60 312346222 76402 
168 153 6064 138 204820542 123557755 
28 38 1900 123 257545381 59552049 
16 9 635 2 294811399 1125417 
15 5 188 126 153550481 215168100 
3 1 0 7 354393428 637060 
118 99 2546 1463 110587228 228732567 
26 32 0 645 0 287340168 
18 17 79 332 295114501 45773915 
16 8 0 1092 0 279163394 
573 583 24528 3369 255807688 41868105 
144 118 0 2060 283051710 21702619 
97 80 2223 0 339892150 0 
0 2 125 52 63123948 214514924 
1532 1592 38257 4559 238084460 109194429 
59 56 146 1082 219534756 73828877 
19 27 245 201 2038936 307672340 
8 10 0 268 273383451 4247295 
6 2 101 0 302678065 0 
16 6 160 371 272198531 41325454 
12 10 384 442 262710239 56373114 
34 46 2050 0 313868199 0 
18 21 181 782 311494563 25744583 
203 205 1475 278 341543376 185909 
23 46 1878 1094 292097529 8076441 
7 14 549 98 318445330 1986235 
2 3 12 55 275527039 55385119 
31 37 268 1222 50353965 290619670 
2 0 114 46 212249669 69939574 
65 72 0 829 307712961 16652493 
113 126 271 2017 265670134 84641930 
196 209 6575 1399 272880108 9732535 
7 8 590 307 252046884 54603232 
9 9 629 168 288936028 1063248 
40 40 94 0 292144793 6148844 
464 485 3471 13955 2341497 326661820 
2 4 128 160 215158200 137350429 
907 890 33368 50 341953141 1243 
64 71 773 2729 91248024 252174401 
24 21 1179 0 288561036 0 
6 7 29 205 56660352 251589132 
1139 1085 11104 11393 104111107 255567897 
207 171 10270 0 298565835 0 
54 44 89 0 343277850 0 
32 24 1052 384 241819011 47665653 
3364 3409 21855 18430 71228590 208589799 
29 33 30 977 272046532 37487502 
89 98 1430 1299 285763947 2357391 
8 8 412 0 348083842 0 
30 26 0 1558 86986735 235045737 
23 28 483 655 322385209 3897849 
3 7 479 15 319767211 11866343 
1650 1620 18378 29945 51998896 252477246 
4 3 78 0 341473069 1520061 
39 41 1698 231 274673654 21791967 
1 4 32 0 287012767 0 
16 12 380 0 337871299 0 
24 18 784 181 65930728 259172331 
21 17 777 1076 172606161 137889594 
13 12 69 578 89134971 242571204 
42 42 650 0 312982007 0 
22 22 230 788 6487191 280029476 
5 6 285 58 340370904 377967 
25 19 152 442 150683572 181360573 
52 56 0 1600 0 298136627 
94 84 0 3691 0 362790641 
530 522 0 12183 0 308477787 
