6 8 995 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 114144 0 0 0 625004 0 0 0 0 0 0 0 14736 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7453678 0 0 0 274823281 0 0 0 0 0 0 0 
0 1 0 0 0 0 511147 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 92536 0 0 0 1002 0 0 0 0 256426625 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 0 0 0 0 0 0 0 0 0 0 0 0 0 15622399 0 0 0 11397 
0 5 0 0 0 0 361466 0 0 0 40562 0 0 0 0 0 0 0 0 0 0 0 0 317 0 0 0 0 0 0 0 0 0 1363 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24532632 0 0 0 315658455 0 0 0 0 0 0 0 0 0 0 0 0 6420 0 0 0 0 0 0 0 0 0 1963141 0 0 0 0 0 0 0 0 0 0 
2653 2508 0 0 726385 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15609939 0 0 0 0 0 0 0 0 0 0 0 0 0 27882303 0 0 0 0 0 0 0 0 0 0 0 0 13747 0 0 0 0 0 0 0 0 0 0 0 0 0 0 279849595 0 77 0 0 0 0 0 0 0 0 0 
87 87 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6678808 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 327249520 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
171 179 0 0 0 0 0 0 0 0 5866750 1288604 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1665 1671 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 206673386 90835189 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24456 41702 0 0 0 0 0 0 0 0 0 0 0 0 
160 160 0 0 0 0 0 0 0 0 3482170 0 0 0 0 0 31 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 92712 0 0 0 0 0 0 0 0 317772254 0 0 0 0 0 12 0 0 60 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2238750 
15 20 0 222 0 0 3190053 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 547188 435959 0 0 0 0 0 0 0 14372 0 0 288444948 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2081 0 0 0 0 0 0 0 0 0 0 0 17262312 18765317 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 1456 0 0 0 0 0 0 0 0 0 0 0 0 0 0 504638 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 195274 0 0 0 0 0 0 0 0 0 0 0 0 0 0 330717989 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2 0 0 0 6 40 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 842090 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2685 0 0 0 5 3977 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 328781681 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 157239 0 
35 34 0 0 152 0 0 0 0 0 0 90848 0 0 0 0 0 0 0 0 0 0 0 0 0 185 0 0 0 0 0 0 0 0 0 0 0 0 5109049 0 0 0 0 0 0 0 307 0 0 0 0 0 0 23764195 0 0 0 0 0 0 0 0 0 0 0 0 0 1352 0 0 0 0 0 0 0 0 0 0 0 0 296821798 0 0 0 0 0 
184 205 0 0 0 0 0 0 0 0 277 2987484 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11777920 324375556 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 2 0 0 0 0 0 575598 0 0 271340 432819 0 0 0 0 0 0 0 0 0 91697 0 0 0 0 0 0 0 0 57 0 0 0 0 0 0 0 253176 0 7352 0 0 0 0 0 0 0 0 48216750 0 0 150375434 50537262 0 0 0 0 14 0 0 0 0 14958008 0 0 0 0 0 0 0 0 13503 0 0 0 0 0 0 0 13030632 0 1410444 0 0 0 
58 55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2814648 0 13743 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 354560430 0 228482 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 0 0 0 0 0 78363 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22328 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 610283 0 0 0 0 0 0 0 0 5438892 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15210215 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 295774693 0 0 0 0 
358 370 0 0 0 0 0 0 0 0 0 6450890 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 347902224 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
14 12 0 0 0 4769 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1763 0 0 0 0 0 0 0 0 0 0 0 0 0 1742268 0 0 0 0 0 0 0 0 0 0 65860 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32999 0 0 7 0 0 0 0 0 0 0 0 0 0 349596533 0 0 0 0 0 0 0 
3 5 0 1036 1664 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2154108 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36837 32841 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 202779555 0 0 0 0 0 0 0 0 0 0 139899259 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5331 0 0 0 0 1201529 0 0 0 0 0 0 0 0 0 0 0 0 0 0 314 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 313353 0 0 0 0 279562098 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31013 0 0 
2 5 0 0 0 0 0 0 0 0 0 73482 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 456170 0 0 0 3359 0 0 0 0 0 0 0 0 0 1358375 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 293934543 0 0 0 97287 
